"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"01.01.2021 00:00 - 01.01.2021 00:15","9242","9486"
"01.01.2021 00:15 - 01.01.2021 00:30","9152","9392"
"01.01.2021 00:30 - 01.01.2021 00:45","9062","9238"
"01.01.2021 00:45 - 01.01.2021 01:00","8856","9068"
"01.01.2021 01:00 - 01.01.2021 01:15","8717","8993"
"01.01.2021 01:15 - 01.01.2021 01:30","8642","8815"
"01.01.2021 01:30 - 01.01.2021 01:45","8525","8689"
"01.01.2021 01:45 - 01.01.2021 02:00","8402","8533"
"01.01.2021 02:00 - 01.01.2021 02:15","8291","8427"
"01.01.2021 02:15 - 01.01.2021 02:30","8187","8327"
"01.01.2021 02:30 - 01.01.2021 02:45","8135","8217"
"01.01.2021 02:45 - 01.01.2021 03:00","8031","8083"
"01.01.2021 03:00 - 01.01.2021 03:15","7940","7986"
"01.01.2021 03:15 - 01.01.2021 03:30","7836","7916"
"01.01.2021 03:30 - 01.01.2021 03:45","7801","7915"
"01.01.2021 03:45 - 01.01.2021 04:00","7731","7834"
"01.01.2021 04:00 - 01.01.2021 04:15","7664","7799"
"01.01.2021 04:15 - 01.01.2021 04:30","7608","7763"
"01.01.2021 04:30 - 01.01.2021 04:45","7625","7777"
"01.01.2021 04:45 - 01.01.2021 05:00","7618","7723"
"01.01.2021 05:00 - 01.01.2021 05:15","7595","7771"
"01.01.2021 05:15 - 01.01.2021 05:30","7562","7762"
"01.01.2021 05:30 - 01.01.2021 05:45","7617","7782"
"01.01.2021 05:45 - 01.01.2021 06:00","7603","7826"
"01.01.2021 06:00 - 01.01.2021 06:15","7614","7891"
"01.01.2021 06:15 - 01.01.2021 06:30","7620","7949"
"01.01.2021 06:30 - 01.01.2021 06:45","7715","8002"
"01.01.2021 06:45 - 01.01.2021 07:00","7653","8007"
"01.01.2021 07:00 - 01.01.2021 07:15","7574","7955"
"01.01.2021 07:15 - 01.01.2021 07:30","7503","7948"
"01.01.2021 07:30 - 01.01.2021 07:45","7573","7983"
"01.01.2021 07:45 - 01.01.2021 08:00","7568","7999"
"01.01.2021 08:00 - 01.01.2021 08:15","7568","8093"
"01.01.2021 08:15 - 01.01.2021 08:30","7562","8185"
"01.01.2021 08:30 - 01.01.2021 08:45","7607","8181"
"01.01.2021 08:45 - 01.01.2021 09:00","7646","8213"
"01.01.2021 09:00 - 01.01.2021 09:15","7690","8292"
"01.01.2021 09:15 - 01.01.2021 09:30","7757","8396"
"01.01.2021 09:30 - 01.01.2021 09:45","7795","8471"
"01.01.2021 09:45 - 01.01.2021 10:00","7891","8533"
"01.01.2021 10:00 - 01.01.2021 10:15","7974","8627"
"01.01.2021 10:15 - 01.01.2021 10:30","8081","8717"
"01.01.2021 10:30 - 01.01.2021 10:45","8125","8782"
"01.01.2021 10:45 - 01.01.2021 11:00","8227","8799"
"01.01.2021 11:00 - 01.01.2021 11:15","8320","8840"
"01.01.2021 11:15 - 01.01.2021 11:30","8417","8916"
"01.01.2021 11:30 - 01.01.2021 11:45","8438","9003"
"01.01.2021 11:45 - 01.01.2021 12:00","8527","9126"
"01.01.2021 12:00 - 01.01.2021 12:15","8582","9233"
"01.01.2021 12:15 - 01.01.2021 12:30","8643","9201"
"01.01.2021 12:30 - 01.01.2021 12:45","8616","9172"
"01.01.2021 12:45 - 01.01.2021 13:00","8642","9138"
"01.01.2021 13:00 - 01.01.2021 13:15","8657","9040"
"01.01.2021 13:15 - 01.01.2021 13:30","8682","8924"
"01.01.2021 13:30 - 01.01.2021 13:45","8640","8877"
"01.01.2021 13:45 - 01.01.2021 14:00","8575","8801"
"01.01.2021 14:00 - 01.01.2021 14:15","8530","8732"
"01.01.2021 14:15 - 01.01.2021 14:30","8518","8698"
