"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"01.01.2021 14:30 - 01.01.2021 14:45","8533","8672"
"01.01.2021 14:45 - 01.01.2021 15:00","8514","8653"
"01.01.2021 15:00 - 01.01.2021 15:15","8502","8702"
"01.01.2021 15:15 - 01.01.2021 15:30","8492","8774"
"01.01.2021 15:30 - 01.01.2021 15:45","8494","8829"
"01.01.2021 15:45 - 01.01.2021 16:00","8493","8845"
"01.01.2021 16:00 - 01.01.2021 16:15","8511","8898"
"01.01.2021 16:15 - 01.01.2021 16:30","8544","8955"
"01.01.2021 16:30 - 01.01.2021 16:45","8616","8994"
"01.01.2021 16:45 - 01.01.2021 17:00","8732","9176"
"01.01.2021 17:00 - 01.01.2021 17:15","8880","9473"
"01.01.2021 17:15 - 01.01.2021 17:30","9027","9635"
"01.01.2021 17:30 - 01.01.2021 17:45","9139","9790"
"01.01.2021 17:45 - 01.01.2021 18:00","9217","9899"
"01.01.2021 18:00 - 01.01.2021 18:15","9249","9918"
"01.01.2021 18:15 - 01.01.2021 18:30","9245","9887"
"01.01.2021 18:30 - 01.01.2021 18:45","9198","9877"
"01.01.2021 18:45 - 01.01.2021 19:00","9177","9818"
"01.01.2021 19:00 - 01.01.2021 19:15","9147","9722"
"01.01.2021 19:15 - 01.01.2021 19:30","9133","9654"
"01.01.2021 19:30 - 01.01.2021 19:45","9067","9549"
"01.01.2021 19:45 - 01.01.2021 20:00","9021","9428"
"01.01.2021 20:00 - 01.01.2021 20:15","8964","9329"
"01.01.2021 20:15 - 01.01.2021 20:30","8913","9248"
"01.01.2021 20:30 - 01.01.2021 20:45","8834","9202"
"01.01.2021 20:45 - 01.01.2021 21:00","8793","9093"
"01.01.2021 21:00 - 01.01.2021 21:15","8754","9057"
"01.01.2021 21:15 - 01.01.2021 21:30","8720","9048"
"01.01.2021 21:30 - 01.01.2021 21:45","8639","8981"
"01.01.2021 21:45 - 01.01.2021 22:00","8729","8928"
"01.01.2021 22:00 - 01.01.2021 22:15","8867","9098"
"01.01.2021 22:15 - 01.01.2021 22:30","9033","9268"
"01.01.2021 22:30 - 01.01.2021 22:45","9040","9305"
"01.01.2021 22:45 - 01.01.2021 23:00","9120","9227"
"01.01.2021 23:00 - 01.01.2021 23:15","9173","9361"
"01.01.2021 23:15 - 01.01.2021 23:30","9188","9339"
"01.01.2021 23:30 - 01.01.2021 23:45","9059","9234"
"01.01.2021 23:45 - 02.01.2021 00:00","8894","9093"
"02.01.2021 00:00 - 02.01.2021 00:15","8742","9026"
"02.01.2021 00:15 - 02.01.2021 00:30","8619","8951"
"02.01.2021 00:30 - 02.01.2021 00:45","8507","8819"
"02.01.2021 00:45 - 02.01.2021 01:00","8428","8685"
"02.01.2021 01:00 - 02.01.2021 01:15","8278","8670"
"02.01.2021 01:15 - 02.01.2021 01:30","8211","8601"
"02.01.2021 01:30 - 02.01.2021 01:45","8100","8492"
"02.01.2021 01:45 - 02.01.2021 02:00","8041","8342"
"02.01.2021 02:00 - 02.01.2021 02:15","7982","8307"
"02.01.2021 02:15 - 02.01.2021 02:30","7930","8203"
"02.01.2021 02:30 - 02.01.2021 02:45","7847","8124"
"02.01.2021 02:45 - 02.01.2021 03:00","7830","8071"
"02.01.2021 03:00 - 02.01.2021 03:15","7844","8048"
"02.01.2021 03:15 - 02.01.2021 03:30","7851","7978"
"02.01.2021 03:30 - 02.01.2021 03:45","7803","7929"
"02.01.2021 03:45 - 02.01.2021 04:00","7842","7922"
"02.01.2021 04:00 - 02.01.2021 04:15","7894","7891"
"02.01.2021 04:15 - 02.01.2021 04:30","7957","7900"
"02.01.2021 04:30 - 02.01.2021 04:45","7919","7914"
"02.01.2021 04:45 - 02.01.2021 05:00","7993","7904"
"02.01.2021 05:00 - 02.01.2021 05:15","8092","7966"
"02.01.2021 05:15 - 02.01.2021 05:30","8222","8011"
"02.01.2021 05:30 - 02.01.2021 05:45","8248","8055"
"02.01.2021 05:45 - 02.01.2021 06:00","8351","8019"
"02.01.2021 06:00 - 02.01.2021 06:15","8466","8183"
"02.01.2021 06:15 - 02.01.2021 06:30","8608","8314"
"02.01.2021 06:30 - 02.01.2021 06:45","8672","8319"
"02.01.2021 06:45 - 02.01.2021 07:00","8587","8402"
"02.01.2021 07:00 - 02.01.2021 07:15","8520","8444"
"02.01.2021 07:15 - 02.01.2021 07:30","8494","8575"
"02.01.2021 07:30 - 02.01.2021 07:45","8639","8664"
"02.01.2021 07:45 - 02.01.2021 08:00","8780","8680"
"02.01.2021 08:00 - 02.01.2021 08:15","8912","8865"
"02.01.2021 08:15 - 02.01.2021 08:30","9035","9084"
"02.01.2021 08:30 - 02.01.2021 08:45","9151","9184"
"02.01.2021 08:45 - 02.01.2021 09:00","9125","9166"
"02.01.2021 09:00 - 02.01.2021 09:15","9111","9329"
"02.01.2021 09:15 - 02.01.2021 09:30","9095","9541"
"02.01.2021 09:30 - 02.01.2021 09:45","9174","9651"
"02.01.2021 09:45 - 02.01.2021 10:00","9149","9752"
"02.01.2021 10:00 - 02.01.2021 10:15","9118","9816"
"02.01.2021 10:15 - 02.01.2021 10:30","9107","10029"
"02.01.2021 10:30 - 02.01.2021 10:45","9163","10127"
"02.01.2021 10:45 - 02.01.2021 11:00","9195","10161"
"02.01.2021 11:00 - 02.01.2021 11:15","9242","10195"
"02.01.2021 11:15 - 02.01.2021 11:30","9317","10318"
"02.01.2021 11:30 - 02.01.2021 11:45","9415","10349"
"02.01.2021 11:45 - 02.01.2021 12:00","9422","10513"
"02.01.2021 12:00 - 02.01.2021 12:15","9401","10503"
"02.01.2021 12:15 - 02.01.2021 12:30","9345","10425"
"02.01.2021 12:30 - 02.01.2021 12:45","9343","10406"
"02.01.2021 12:45 - 02.01.2021 13:00","9319","10385"
"02.01.2021 13:00 - 02.01.2021 13:15","9271","10331"
"02.01.2021 13:15 - 02.01.2021 13:30","9224","10260"
"02.01.2021 13:30 - 02.01.2021 13:45","9182","10242"
"02.01.2021 13:45 - 02.01.2021 14:00","9185","10106"
"02.01.2021 14:00 - 02.01.2021 14:15","9157","10148"
"02.01.2021 14:15 - 02.01.2021 14:30","9114","10101"
"02.01.2021 14:30 - 02.01.2021 14:45","9048","10100"
"02.01.2021 14:45 - 02.01.2021 15:00","9039","10023"
"02.01.2021 15:00 - 02.01.2021 15:15","9056","10094"
"02.01.2021 15:15 - 02.01.2021 15:30","9092","10088"
"02.01.2021 15:30 - 02.01.2021 15:45","9090","10025"
"02.01.2021 15:45 - 02.01.2021 16:00","9103","10078"
"02.01.2021 16:00 - 02.01.2021 16:15","9132","10050"
"02.01.2021 16:15 - 02.01.2021 16:30","9215","10157"
"02.01.2021 16:30 - 02.01.2021 16:45","9334","10300"
"02.01.2021 16:45 - 02.01.2021 17:00","9488","10439"
"02.01.2021 17:00 - 02.01.2021 17:15","9637","10673"
"02.01.2021 17:15 - 02.01.2021 17:30","9757","10812"
"02.01.2021 17:30 - 02.01.2021 17:45","9831","11088"
"02.01.2021 17:45 - 02.01.2021 18:00","9924","11110"
"02.01.2021 18:00 - 02.01.2021 18:15","9980","11076"
"02.01.2021 18:15 - 02.01.2021 18:30","9998","11038"
"02.01.2021 18:30 - 02.01.2021 18:45","9955","10912"
"02.01.2021 18:45 - 02.01.2021 19:00","9929","10890"
"02.01.2021 19:00 - 02.01.2021 19:15","9901","10837"
"02.01.2021 19:15 - 02.01.2021 19:30","9836","10616"
"02.01.2021 19:30 - 02.01.2021 19:45","9714","10554"
"02.01.2021 19:45 - 02.01.2021 20:00","9533","10468"
"02.01.2021 20:00 - 02.01.2021 20:15","9368","10326"
"02.01.2021 20:15 - 02.01.2021 20:30","9205","10200"
"02.01.2021 20:30 - 02.01.2021 20:45","9080","10038"
"02.01.2021 20:45 - 02.01.2021 21:00","8969","9829"
"02.01.2021 21:00 - 02.01.2021 21:15","8854","9820"
"02.01.2021 21:15 - 02.01.2021 21:30","8765","9723"
"02.01.2021 21:30 - 02.01.2021 21:45","8662","9564"
"02.01.2021 21:45 - 02.01.2021 22:00","8643","9600"
"02.01.2021 22:00 - 02.01.2021 22:15","8664","9573"
"02.01.2021 22:15 - 02.01.2021 22:30","8737","9773"
"02.01.2021 22:30 - 02.01.2021 22:45","8763","9778"
"02.01.2021 22:45 - 02.01.2021 23:00","8805","9690"
"02.01.2021 23:00 - 02.01.2021 23:15","8794","9860"
"02.01.2021 23:15 - 02.01.2021 23:30","8778","9725"
"02.01.2021 23:30 - 02.01.2021 23:45","8709","9663"
"02.01.2021 23:45 - 03.01.2021 00:00","8719","9549"
"03.01.2021 00:00 - 03.01.2021 00:15","9335","9426"
"03.01.2021 00:15 - 03.01.2021 00:30","9211","9287"
"03.01.2021 00:30 - 03.01.2021 00:45","9097","9103"
"03.01.2021 00:45 - 03.01.2021 01:00","9021","9020"
"03.01.2021 01:00 - 03.01.2021 01:15","8709","8933"
"03.01.2021 01:15 - 03.01.2021 01:30","8554","8823"
"03.01.2021 01:30 - 03.01.2021 01:45","8427","8697"
"03.01.2021 01:45 - 03.01.2021 02:00","8402","8550"
"03.01.2021 02:00 - 03.01.2021 02:15","8207","8577"
"03.01.2021 02:15 - 03.01.2021 02:30","8158","8555"
"03.01.2021 02:30 - 03.01.2021 02:45","8072","8435"
"03.01.2021 02:45 - 03.01.2021 03:00","8033","8403"
"03.01.2021 03:00 - 03.01.2021 03:15","7947","8274"
"03.01.2021 03:15 - 03.01.2021 03:30","7831","8278"
"03.01.2021 03:30 - 03.01.2021 03:45","7838","8237"
"03.01.2021 03:45 - 03.01.2021 04:00","7860","8167"
"03.01.2021 04:00 - 03.01.2021 04:15","7716","8181"
"03.01.2021 04:15 - 03.01.2021 04:30","7745","7960"
"03.01.2021 04:30 - 03.01.2021 04:45","7720","8137"
"03.01.2021 04:45 - 03.01.2021 05:00","7685","8276"
"03.01.2021 05:00 - 03.01.2021 05:15","7753","8160"
"03.01.2021 05:15 - 03.01.2021 05:30","7836","8169"
"03.01.2021 05:30 - 03.01.2021 05:45","7752","7999"
"03.01.2021 05:45 - 03.01.2021 06:00","7816","8015"
"03.01.2021 06:00 - 03.01.2021 06:15","7951","8275"
"03.01.2021 06:15 - 03.01.2021 06:30","8013","8449"
"03.01.2021 06:30 - 03.01.2021 06:45","8028","8445"
"03.01.2021 06:45 - 03.01.2021 07:00","8029","8428"
"03.01.2021 07:00 - 03.01.2021 07:15","7944","8497"
"03.01.2021 07:15 - 03.01.2021 07:30","8007","8469"
"03.01.2021 07:30 - 03.01.2021 07:45","8117","8472"
"03.01.2021 07:45 - 03.01.2021 08:00","8267","8456"
"03.01.2021 08:00 - 03.01.2021 08:15","8360","8598"
"03.01.2021 08:15 - 03.01.2021 08:30","8474","8880"
"03.01.2021 08:30 - 03.01.2021 08:45","8527","9069"
"03.01.2021 08:45 - 03.01.2021 09:00","8545","9084"
"03.01.2021 09:00 - 03.01.2021 09:15","8723","9277"
"03.01.2021 09:15 - 03.01.2021 09:30","8894","9315"
"03.01.2021 09:30 - 03.01.2021 09:45","8925","9412"
"03.01.2021 09:45 - 03.01.2021 10:00","9052","9541"
"03.01.2021 10:00 - 03.01.2021 10:15","9316","9663"
"03.01.2021 10:15 - 03.01.2021 10:30","9437","9798"
"03.01.2021 10:30 - 03.01.2021 10:45","9430","9938"
"03.01.2021 10:45 - 03.01.2021 11:00","9358","9998"
"03.01.2021 11:00 - 03.01.2021 11:15","9543","10141"
"03.01.2021 11:15 - 03.01.2021 11:30","9652","10217"
"03.01.2021 11:30 - 03.01.2021 11:45","9878","10250"
"03.01.2021 11:45 - 03.01.2021 12:00","9886","10493"
"03.01.2021 12:00 - 03.01.2021 12:15","9877","10697"
"03.01.2021 12:15 - 03.01.2021 12:30","9893","10673"
"03.01.2021 12:30 - 03.01.2021 12:45","9906","10556"
"03.01.2021 12:45 - 03.01.2021 13:00","9914","10492"
"03.01.2021 13:00 - 03.01.2021 13:15","9888","10411"
"03.01.2021 13:15 - 03.01.2021 13:30","9780","10377"
"03.01.2021 13:30 - 03.01.2021 13:45","9755","10253"
"03.01.2021 13:45 - 03.01.2021 14:00","9641","10021"
"03.01.2021 14:00 - 03.01.2021 14:15","9693","9973"
"03.01.2021 14:15 - 03.01.2021 14:30","9646","9991"
"03.01.2021 14:30 - 03.01.2021 14:45","9450","10073"
"03.01.2021 14:45 - 03.01.2021 15:00","9313","9877"
"03.01.2021 15:00 - 03.01.2021 15:15","9480","10095"
"03.01.2021 15:15 - 03.01.2021 15:30","9451","9768"
"03.01.2021 15:30 - 03.01.2021 15:45","9401","9618"
"03.01.2021 15:45 - 03.01.2021 16:00","9410","10127"
"03.01.2021 16:00 - 03.01.2021 16:15","9421","10060"
"03.01.2021 16:15 - 03.01.2021 16:30","9510","10081"
"03.01.2021 16:30 - 03.01.2021 16:45","9536","10061"
"03.01.2021 16:45 - 03.01.2021 17:00","9768","10182"
"03.01.2021 17:00 - 03.01.2021 17:15","10197","10756"
"03.01.2021 17:15 - 03.01.2021 17:30","10234","10988"
"03.01.2021 17:30 - 03.01.2021 17:45","10381","10880"
"03.01.2021 17:45 - 03.01.2021 18:00","10486","11102"
"03.01.2021 18:00 - 03.01.2021 18:15","10541","10726"
"03.01.2021 18:15 - 03.01.2021 18:30","10520","10776"
"03.01.2021 18:30 - 03.01.2021 18:45","10516","10876"
"03.01.2021 18:45 - 03.01.2021 19:00","10436","10876"
"03.01.2021 19:00 - 03.01.2021 19:15","10481","10751"
"03.01.2021 19:15 - 03.01.2021 19:30","10441","10443"
"03.01.2021 19:30 - 03.01.2021 19:45","10317","10593"
"03.01.2021 19:45 - 03.01.2021 20:00","10211","10404"
"03.01.2021 20:00 - 03.01.2021 20:15","10163","10245"
"03.01.2021 20:15 - 03.01.2021 20:30","9994","10058"
"03.01.2021 20:30 - 03.01.2021 20:45","9956","9961"
"03.01.2021 20:45 - 03.01.2021 21:00","9775","9949"
"03.01.2021 21:00 - 03.01.2021 21:15","9725","9891"
"03.01.2021 21:15 - 03.01.2021 21:30","9655","9839"
"03.01.2021 21:30 - 03.01.2021 21:45","9540","9462"
"03.01.2021 21:45 - 03.01.2021 22:00","9462","9424"
"03.01.2021 22:00 - 03.01.2021 22:15","9512","9580"
"03.01.2021 22:15 - 03.01.2021 22:30","9627","9695"
"03.01.2021 22:30 - 03.01.2021 22:45","9673","9693"
"03.01.2021 22:45 - 03.01.2021 23:00","9612","9501"
"03.01.2021 23:00 - 03.01.2021 23:15","9720","9700"
"03.01.2021 23:15 - 03.01.2021 23:30","9607","9584"
"03.01.2021 23:30 - 03.01.2021 23:45","9485","9474"
"03.01.2021 23:45 - 04.01.2021 00:00","9364","9441"
"04.01.2021 00:00 - 04.01.2021 00:15","9448","9381"
"04.01.2021 00:15 - 04.01.2021 00:30","9382","9285"
"04.01.2021 00:30 - 04.01.2021 00:45","9236","9138"
"04.01.2021 00:45 - 04.01.2021 01:00","9255","9032"
"04.01.2021 01:00 - 04.01.2021 01:15","8959","9070"
"04.01.2021 01:15 - 04.01.2021 01:30","8834","8941"
"04.01.2021 01:30 - 04.01.2021 01:45","8738","8806"
"04.01.2021 01:45 - 04.01.2021 02:00","8653","8870"
"04.01.2021 02:00 - 04.01.2021 02:15","8489","8661"
"04.01.2021 02:15 - 04.01.2021 02:30","8450","8551"
"04.01.2021 02:30 - 04.01.2021 02:45","8458","8618"
"04.01.2021 02:45 - 04.01.2021 03:00","8405","8530"
"04.01.2021 03:00 - 04.01.2021 03:15","8326","8342"
"04.01.2021 03:15 - 04.01.2021 03:30","8271","8385"
"04.01.2021 03:30 - 04.01.2021 03:45","8248","8481"
"04.01.2021 03:45 - 04.01.2021 04:00","8333","8384"
"04.01.2021 04:00 - 04.01.2021 04:15","8232","8375"
"04.01.2021 04:15 - 04.01.2021 04:30","8300","8424"
"04.01.2021 04:30 - 04.01.2021 04:45","8329","8568"
"04.01.2021 04:45 - 04.01.2021 05:00","8373","8630"
"04.01.2021 05:00 - 04.01.2021 05:15","8519","8705"
"04.01.2021 05:15 - 04.01.2021 05:30","8623","8806"
"04.01.2021 05:30 - 04.01.2021 05:45","8780","9108"
"04.01.2021 05:45 - 04.01.2021 06:00","8979","9321"
"04.01.2021 06:00 - 04.01.2021 06:15","9464","9562"
"04.01.2021 06:15 - 04.01.2021 06:30","9701","10009"
"04.01.2021 06:30 - 04.01.2021 06:45","9882","10254"
"04.01.2021 06:45 - 04.01.2021 07:00","10112","10461"
"04.01.2021 07:00 - 04.01.2021 07:15","10373","10704"
"04.01.2021 07:15 - 04.01.2021 07:30","10634","10919"
"04.01.2021 07:30 - 04.01.2021 07:45","10783","11202"
"04.01.2021 07:45 - 04.01.2021 08:00","10892","11322"
"04.01.2021 08:00 - 04.01.2021 08:15","11029","11571"
"04.01.2021 08:15 - 04.01.2021 08:30","11114","11735"
"04.01.2021 08:30 - 04.01.2021 08:45","11203","11889"
"04.01.2021 08:45 - 04.01.2021 09:00","11310","11892"
"04.01.2021 09:00 - 04.01.2021 09:15","11216","11989"
"04.01.2021 09:15 - 04.01.2021 09:30","11378","11986"
"04.01.2021 09:30 - 04.01.2021 09:45","11424","12038"
"04.01.2021 09:45 - 04.01.2021 10:00","11454","12087"
"04.01.2021 10:00 - 04.01.2021 10:15","11495","12162"
"04.01.2021 10:15 - 04.01.2021 10:30","11398","12187"
"04.01.2021 10:30 - 04.01.2021 10:45","11447","12245"
"04.01.2021 10:45 - 04.01.2021 11:00","11490","12272"
"04.01.2021 11:00 - 04.01.2021 11:15","11491","12319"
"04.01.2021 11:15 - 04.01.2021 11:30","11486","12303"
"04.01.2021 11:30 - 04.01.2021 11:45","11511","12426"
"04.01.2021 11:45 - 04.01.2021 12:00","11625","12448"
"04.01.2021 12:00 - 04.01.2021 12:15","11441","12397"
"04.01.2021 12:15 - 04.01.2021 12:30","11367","12299"
"04.01.2021 12:30 - 04.01.2021 12:45","11345","12295"
"04.01.2021 12:45 - 04.01.2021 13:00","11339","12378"
"04.01.2021 13:00 - 04.01.2021 13:15","11457","12433"
"04.01.2021 13:15 - 04.01.2021 13:30","11398","12328"
"04.01.2021 13:30 - 04.01.2021 13:45","11350","12310"
"04.01.2021 13:45 - 04.01.2021 14:00","11308","12416"
"04.01.2021 14:00 - 04.01.2021 14:15","11286","12308"
"04.01.2021 14:15 - 04.01.2021 14:30","11281","12254"
"04.01.2021 14:30 - 04.01.2021 14:45","11317","12196"
"04.01.2021 14:45 - 04.01.2021 15:00","11256","12140"
"04.01.2021 15:00 - 04.01.2021 15:15","11329","12173"
"04.01.2021 15:15 - 04.01.2021 15:30","11341","12189"
"04.01.2021 15:30 - 04.01.2021 15:45","11308","12160"
"04.01.2021 15:45 - 04.01.2021 16:00","11395","12238"
"04.01.2021 16:00 - 04.01.2021 16:15","11362","12267"
"04.01.2021 16:15 - 04.01.2021 16:30","11439","12267"
"04.01.2021 16:30 - 04.01.2021 16:45","11586","12242"
"04.01.2021 16:45 - 04.01.2021 17:00","11754","12448"
"04.01.2021 17:00 - 04.01.2021 17:15","12086","12643"
"04.01.2021 17:15 - 04.01.2021 17:30","12216","12654"
"04.01.2021 17:30 - 04.01.2021 17:45","12265","12809"
"04.01.2021 17:45 - 04.01.2021 18:00","12382","12882"
"04.01.2021 18:00 - 04.01.2021 18:15","12408","12697"
"04.01.2021 18:15 - 04.01.2021 18:30","12300","12724"
"04.01.2021 18:30 - 04.01.2021 18:45","12252","12571"
"04.01.2021 18:45 - 04.01.2021 19:00","12102","12458"
"04.01.2021 19:00 - 04.01.2021 19:15","12063","12276"
"04.01.2021 19:15 - 04.01.2021 19:30","11882","12060"
"04.01.2021 19:30 - 04.01.2021 19:45","11711","11923"
"04.01.2021 19:45 - 04.01.2021 20:00","11555","11791"
"04.01.2021 20:00 - 04.01.2021 20:15","11404","11650"
"04.01.2021 20:15 - 04.01.2021 20:30","11181","11467"
"04.01.2021 20:30 - 04.01.2021 20:45","11046","11278"
"04.01.2021 20:45 - 04.01.2021 21:00","10915","11125"
"04.01.2021 21:00 - 04.01.2021 21:15","10719","10980"
"04.01.2021 21:15 - 04.01.2021 21:30","10548","10877"
"04.01.2021 21:30 - 04.01.2021 21:45","10460","10807"
"04.01.2021 21:45 - 04.01.2021 22:00","10356","10540"
"04.01.2021 22:00 - 04.01.2021 22:15","10467","10644"
"04.01.2021 22:15 - 04.01.2021 22:30","10575","10807"
"04.01.2021 22:30 - 04.01.2021 22:45","10598","10838"
"04.01.2021 22:45 - 04.01.2021 23:00","10539","10848"
"04.01.2021 23:00 - 04.01.2021 23:15","10587","10996"
"04.01.2021 23:15 - 04.01.2021 23:30","10488","10866"
"04.01.2021 23:30 - 04.01.2021 23:45","10344","10635"
"04.01.2021 23:45 - 05.01.2021 00:00","10208","10592"
"05.01.2021 00:00 - 05.01.2021 00:15","10538","10499"
"05.01.2021 00:15 - 05.01.2021 00:30","10392","10383"
"05.01.2021 00:30 - 05.01.2021 00:45","10246","10149"
"05.01.2021 00:45 - 05.01.2021 01:00","10102","10188"
"05.01.2021 01:00 - 05.01.2021 01:15","9806","10159"
"05.01.2021 01:15 - 05.01.2021 01:30","9666","9948"
"05.01.2021 01:30 - 05.01.2021 01:45","9542","9863"
"05.01.2021 01:45 - 05.01.2021 02:00","9439","9787"
"05.01.2021 02:00 - 05.01.2021 02:15","9277","9747"
"05.01.2021 02:15 - 05.01.2021 02:30","9222","9622"
"05.01.2021 02:30 - 05.01.2021 02:45","9221","9486"
"05.01.2021 02:45 - 05.01.2021 03:00","9130","9526"
"05.01.2021 03:00 - 05.01.2021 03:15","9063","9444"
"05.01.2021 03:15 - 05.01.2021 03:30","8981","9361"
"05.01.2021 03:30 - 05.01.2021 03:45","8933","9348"
"05.01.2021 03:45 - 05.01.2021 04:00","8926","9323"
"05.01.2021 04:00 - 05.01.2021 04:15","8995","9417"
"05.01.2021 04:15 - 05.01.2021 04:30","9012","9405"
"05.01.2021 04:30 - 05.01.2021 04:45","9096","9464"
"05.01.2021 04:45 - 05.01.2021 05:00","9134","9407"
"05.01.2021 05:00 - 05.01.2021 05:15","9213","9538"
"05.01.2021 05:15 - 05.01.2021 05:30","9330","9726"
"05.01.2021 05:30 - 05.01.2021 05:45","9452","9853"
"05.01.2021 05:45 - 05.01.2021 06:00","9581","10056"
"05.01.2021 06:00 - 05.01.2021 06:15","9871","10347"
"05.01.2021 06:15 - 05.01.2021 06:30","10055","10619"
"05.01.2021 06:30 - 05.01.2021 06:45","10259","11048"
"05.01.2021 06:45 - 05.01.2021 07:00","10397","11291"
"05.01.2021 07:00 - 05.01.2021 07:15","10543","11391"
"05.01.2021 07:15 - 05.01.2021 07:30","10701","11664"
"05.01.2021 07:30 - 05.01.2021 07:45","10891","11978"
"05.01.2021 07:45 - 05.01.2021 08:00","11067","12149"
"05.01.2021 08:00 - 05.01.2021 08:15","11260","12221"
"05.01.2021 08:15 - 05.01.2021 08:30","11419","12368"
"05.01.2021 08:30 - 05.01.2021 08:45","11457","12525"
"05.01.2021 08:45 - 05.01.2021 09:00","11465","12538"
"05.01.2021 09:00 - 05.01.2021 09:15","11561","12509"
"05.01.2021 09:15 - 05.01.2021 09:30","11610","12553"
"05.01.2021 09:30 - 05.01.2021 09:45","11696","12479"
"05.01.2021 09:45 - 05.01.2021 10:00","11714","12418"
"05.01.2021 10:00 - 05.01.2021 10:15","11806","12416"
"05.01.2021 10:15 - 05.01.2021 10:30","11786","12302"
"05.01.2021 10:30 - 05.01.2021 10:45","11838","12289"
"05.01.2021 10:45 - 05.01.2021 11:00","11831","12352"
"05.01.2021 11:00 - 05.01.2021 11:15","11825","12442"
"05.01.2021 11:15 - 05.01.2021 11:30","11891","12500"
"05.01.2021 11:30 - 05.01.2021 11:45","11988","12397"
"05.01.2021 11:45 - 05.01.2021 12:00","12037","12437"
"05.01.2021 12:00 - 05.01.2021 12:15","11968","12414"
"05.01.2021 12:15 - 05.01.2021 12:30","11830","12295"
