"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"22.02.2016 20:00 - 22.02.2016 20:15","11369","11715"
"22.02.2016 20:15 - 22.02.2016 20:30","11190","11569"
"22.02.2016 20:30 - 22.02.2016 20:45","10997","11414"
"22.02.2016 20:45 - 22.02.2016 21:00","10831","11142"
"22.02.2016 21:00 - 22.02.2016 21:15","10656","10942"
"22.02.2016 21:15 - 22.02.2016 21:30","10549","10800"
"22.02.2016 21:30 - 22.02.2016 21:45","10430","10677"
"22.02.2016 21:45 - 22.02.2016 22:00","10373","10646"
"22.02.2016 22:00 - 22.02.2016 22:15","10537","10790"
"22.02.2016 22:15 - 22.02.2016 22:30","10747","10928"
"22.02.2016 22:30 - 22.02.2016 22:45","10738","10983"
"22.02.2016 22:45 - 22.02.2016 23:00","10721","10924"
"22.02.2016 23:00 - 22.02.2016 23:15","10816","10987"
"22.02.2016 23:15 - 22.02.2016 23:30","10612","10830"
"22.02.2016 23:30 - 22.02.2016 23:45","10475","10726"
"22.02.2016 23:45 - 23.02.2016 00:00","10333","10529"
"23.02.2016 00:00 - 23.02.2016 00:15","10195","10301"
"23.02.2016 00:15 - 23.02.2016 00:30","9997","10224"
"23.02.2016 00:30 - 23.02.2016 00:45","9856","10128"
"23.02.2016 00:45 - 23.02.2016 01:00","9715","9868"
"23.02.2016 01:00 - 23.02.2016 01:15","9706","9859"
"23.02.2016 01:15 - 23.02.2016 01:30","9551","9769"
"23.02.2016 01:30 - 23.02.2016 01:45","9423","9503"
"23.02.2016 01:45 - 23.02.2016 02:00","9321","9381"
"23.02.2016 02:00 - 23.02.2016 02:15","9292","9324"
"23.02.2016 02:15 - 23.02.2016 02:30","9203","9284"
"23.02.2016 02:30 - 23.02.2016 02:45","9147","9244"
"23.02.2016 02:45 - 23.02.2016 03:00","9110","9117"
"23.02.2016 03:00 - 23.02.2016 03:15","9069","9124"
"23.02.2016 03:15 - 23.02.2016 03:30","8989","9156"
"23.02.2016 03:30 - 23.02.2016 03:45","8988","9171"
"23.02.2016 03:45 - 23.02.2016 04:00","8980","9160"
"23.02.2016 04:00 - 23.02.2016 04:15","9099","9162"
"23.02.2016 04:15 - 23.02.2016 04:30","9126","9155"
"23.02.2016 04:30 - 23.02.2016 04:45","9169","9335"
"23.02.2016 04:45 - 23.02.2016 05:00","9244","9340"
"23.02.2016 05:00 - 23.02.2016 05:15","9374","9503"
"23.02.2016 05:15 - 23.02.2016 05:30","9460","9528"
"23.02.2016 05:30 - 23.02.2016 05:45","9608","9676"
"23.02.2016 05:45 - 23.02.2016 06:00","9761","10007"
"23.02.2016 06:00 - 23.02.2016 06:15","10177","10378"
"23.02.2016 06:15 - 23.02.2016 06:30","10524","10765"
"23.02.2016 06:30 - 23.02.2016 06:45","10791","10952"
"23.02.2016 06:45 - 23.02.2016 07:00","11085","11255"
"23.02.2016 07:00 - 23.02.2016 07:15","11341","11569"
"23.02.2016 07:15 - 23.02.2016 07:30","11569","11720"
"23.02.2016 07:30 - 23.02.2016 07:45","11615","11804"
"23.02.2016 07:45 - 23.02.2016 08:00","11605","11719"
"23.02.2016 08:00 - 23.02.2016 08:15","11604","11693"
"23.02.2016 08:15 - 23.02.2016 08:30","11694","11750"
"23.02.2016 08:30 - 23.02.2016 08:45","11771","11845"
"23.02.2016 08:45 - 23.02.2016 09:00","11851","11892"
"23.02.2016 09:00 - 23.02.2016 09:15","11862","11926"
"23.02.2016 09:15 - 23.02.2016 09:30","11883","12014"
"23.02.2016 09:30 - 23.02.2016 09:45","11957","12086"
"23.02.2016 09:45 - 23.02.2016 10:00","11972","12054"
"23.02.2016 10:00 - 23.02.2016 10:15","11905","12015"
"23.02.2016 10:15 - 23.02.2016 10:30","11914","11941"
"23.02.2016 10:30 - 23.02.2016 10:45","11933","11940"
"23.02.2016 10:45 - 23.02.2016 11:00","11947","11977"
"23.02.2016 11:00 - 23.02.2016 11:15","12031","11994"
"23.02.2016 11:15 - 23.02.2016 11:30","11987","11982"
"23.02.2016 11:30 - 23.02.2016 11:45","12015","12030"
"23.02.2016 11:45 - 23.02.2016 12:00","11992","12055"
"23.02.2016 12:00 - 23.02.2016 12:15","11827","11843"
"23.02.2016 12:15 - 23.02.2016 12:30","11676","11775"
"23.02.2016 12:30 - 23.02.2016 12:45","11674","11868"
"23.02.2016 12:45 - 23.02.2016 13:00","11691","11801"
"23.02.2016 13:00 - 23.02.2016 13:15","11678","11837"
"23.02.2016 13:15 - 23.02.2016 13:30","11666","11814"
"23.02.2016 13:30 - 23.02.2016 13:45","11650","11866"
"23.02.2016 13:45 - 23.02.2016 14:00","11590","11758"
"23.02.2016 14:00 - 23.02.2016 14:15","11534","11725"
"23.02.2016 14:15 - 23.02.2016 14:30","11480","11739"
"23.02.2016 14:30 - 23.02.2016 14:45","11465","11777"
"23.02.2016 14:45 - 23.02.2016 15:00","11400","11663"
"23.02.2016 15:00 - 23.02.2016 15:15","11498","11829"
"23.02.2016 15:15 - 23.02.2016 15:30","11467","11753"
"23.02.2016 15:30 - 23.02.2016 15:45","11412","11714"
"23.02.2016 15:45 - 23.02.2016 16:00","11406","11671"
"23.02.2016 16:00 - 23.02.2016 16:15","11347","11643"
"23.02.2016 16:15 - 23.02.2016 16:30","11377","11649"
"23.02.2016 16:30 - 23.02.2016 16:45","11351","11647"
"23.02.2016 16:45 - 23.02.2016 17:00","11336","11646"
"23.02.2016 17:00 - 23.02.2016 17:15","11410","11543"
"23.02.2016 17:15 - 23.02.2016 17:30","11537","11472"
"23.02.2016 17:30 - 23.02.2016 17:45","11679","11615"
"23.02.2016 17:45 - 23.02.2016 18:00","11863","11803"
"23.02.2016 18:00 - 23.02.2016 18:15","12087","11839"
"23.02.2016 18:15 - 23.02.2016 18:30","12331","12066"
"23.02.2016 18:30 - 23.02.2016 18:45","12362","12321"
"23.02.2016 18:45 - 23.02.2016 19:00","12312","12387"
"23.02.2016 19:00 - 23.02.2016 19:15","12185","12342"
"23.02.2016 19:15 - 23.02.2016 19:30","12013","12186"
"23.02.2016 19:30 - 23.02.2016 19:45","11922","12070"
"23.02.2016 19:45 - 23.02.2016 20:00","11775","11908"
"23.02.2016 20:00 - 23.02.2016 20:15","11682","11898"
"23.02.2016 20:15 - 23.02.2016 20:30","11491","11669"
"23.02.2016 20:30 - 23.02.2016 20:45","11370","11466"
"23.02.2016 20:45 - 23.02.2016 21:00","11198","11238"
"23.02.2016 21:00 - 23.02.2016 21:15","11037","11158"
"23.02.2016 21:15 - 23.02.2016 21:30","10933","11050"
"23.02.2016 21:30 - 23.02.2016 21:45","10794","10932"
"23.02.2016 21:45 - 23.02.2016 22:00","10687","10824"
"23.02.2016 22:00 - 23.02.2016 22:15","10818","10996"
"23.02.2016 22:15 - 23.02.2016 22:30","11019","11184"
"23.02.2016 22:30 - 23.02.2016 22:45","11029","11142"
"23.02.2016 22:45 - 23.02.2016 23:00","11006","11187"
"23.02.2016 23:00 - 23.02.2016 23:15","11098","11255"
"23.02.2016 23:15 - 23.02.2016 23:30","10963","11195"
"23.02.2016 23:30 - 23.02.2016 23:45","10815","10975"
"23.02.2016 23:45 - 24.02.2016 00:00","10639","10868"
"24.02.2016 00:00 - 24.02.2016 00:15","10606","10675"
"24.02.2016 00:15 - 24.02.2016 00:30","10456","10458"
"24.02.2016 00:30 - 24.02.2016 00:45","10310","10408"
"24.02.2016 00:45 - 24.02.2016 01:00","10151","10362"
"24.02.2016 01:00 - 24.02.2016 01:15","10119","10268"
"24.02.2016 01:15 - 24.02.2016 01:30","9957","10062"
"24.02.2016 01:30 - 24.02.2016 01:45","9824","10055"
"24.02.2016 01:45 - 24.02.2016 02:00","9719","9861"
"24.02.2016 02:00 - 24.02.2016 02:15","9668","9834"
"24.02.2016 02:15 - 24.02.2016 02:30","9576","9651"
"24.02.2016 02:30 - 24.02.2016 02:45","9519","9627"
"24.02.2016 02:45 - 24.02.2016 03:00","9481","9555"
"24.02.2016 03:00 - 24.02.2016 03:15","9379","9510"
"24.02.2016 03:15 - 24.02.2016 03:30","9296","9417"
"24.02.2016 03:30 - 24.02.2016 03:45","9297","9431"
"24.02.2016 03:45 - 24.02.2016 04:00","9288","9443"
"24.02.2016 04:00 - 24.02.2016 04:15","9290","9457"
"24.02.2016 04:15 - 24.02.2016 04:30","9312","9450"
"24.02.2016 04:30 - 24.02.2016 04:45","9355","9506"
"24.02.2016 04:45 - 24.02.2016 05:00","9429","9580"
"24.02.2016 05:00 - 24.02.2016 05:15","9523","9684"
"24.02.2016 05:15 - 24.02.2016 05:30","9612","9822"
"24.02.2016 05:30 - 24.02.2016 05:45","9765","9966"
"24.02.2016 05:45 - 24.02.2016 06:00","9921","10168"
"24.02.2016 06:00 - 24.02.2016 06:15","10295","10538"
"24.02.2016 06:15 - 24.02.2016 06:30","10646","10971"
"24.02.2016 06:30 - 24.02.2016 06:45","10916","11310"
"24.02.2016 06:45 - 24.02.2016 07:00","11212","11535"
"24.02.2016 07:00 - 24.02.2016 07:15","11473","11766"
"24.02.2016 07:15 - 24.02.2016 07:30","11700","11946"
"24.02.2016 07:30 - 24.02.2016 07:45","11748","11998"
"24.02.2016 07:45 - 24.02.2016 08:00","11739","11884"
"24.02.2016 08:00 - 24.02.2016 08:15","11789","11924"
"24.02.2016 08:15 - 24.02.2016 08:30","11878","11946"
"24.02.2016 08:30 - 24.02.2016 08:45","11957","12024"
"24.02.2016 08:45 - 24.02.2016 09:00","12037","12059"
"24.02.2016 09:00 - 24.02.2016 09:15","11997","12119"
"24.02.2016 09:15 - 24.02.2016 09:30","12020","12144"
"24.02.2016 09:30 - 24.02.2016 09:45","12094","12205"
"24.02.2016 09:45 - 24.02.2016 10:00","12110","12196"
"24.02.2016 10:00 - 24.02.2016 10:15","12096","12158"
"24.02.2016 10:15 - 24.02.2016 10:30","12105","12118"
"24.02.2016 10:30 - 24.02.2016 10:45","12123","12092"
"24.02.2016 10:45 - 24.02.2016 11:00","12136","12070"
"24.02.2016 11:00 - 24.02.2016 11:15","12211","12063"
"24.02.2016 11:15 - 24.02.2016 11:30","12168","12049"
"24.02.2016 11:30 - 24.02.2016 11:45","12198","12084"
"24.02.2016 11:45 - 24.02.2016 12:00","12179","12052"
"24.02.2016 12:00 - 24.02.2016 12:15","12012","11814"
"24.02.2016 12:15 - 24.02.2016 12:30","11859","11694"
"24.02.2016 12:30 - 24.02.2016 12:45","11855","11734"
"24.02.2016 12:45 - 24.02.2016 13:00","11871","11827"
"24.02.2016 13:00 - 24.02.2016 13:15","11944","11860"
"24.02.2016 13:15 - 24.02.2016 13:30","11931","11803"
"24.02.2016 13:30 - 24.02.2016 13:45","11918","11792"
"24.02.2016 13:45 - 24.02.2016 14:00","11858","11713"
"24.02.2016 14:00 - 24.02.2016 14:15","11846","11653"
"24.02.2016 14:15 - 24.02.2016 14:30","11791","11550"
"24.02.2016 14:30 - 24.02.2016 14:45","11778","11503"
"24.02.2016 14:45 - 24.02.2016 15:00","11711","11394"
"24.02.2016 15:00 - 24.02.2016 15:15","11851","11370"
"24.02.2016 15:15 - 24.02.2016 15:30","11819","11345"
"24.02.2016 15:30 - 24.02.2016 15:45","11763","11354"
"24.02.2016 15:45 - 24.02.2016 16:00","11758","11321"
"24.02.2016 16:00 - 24.02.2016 16:15","11669","11298"
"24.02.2016 16:15 - 24.02.2016 16:30","11698","11278"
"24.02.2016 16:30 - 24.02.2016 16:45","11672","11253"
"24.02.2016 16:45 - 24.02.2016 17:00","11656","11253"
"24.02.2016 17:00 - 24.02.2016 17:15","11770","11253"
"24.02.2016 17:15 - 24.02.2016 17:30","11898","11360"
"24.02.2016 17:30 - 24.02.2016 17:45","12044","11498"
"24.02.2016 17:45 - 24.02.2016 18:00","12232","11649"
"24.02.2016 18:00 - 24.02.2016 18:15","12294","11731"
"24.02.2016 18:15 - 24.02.2016 18:30","12543","11986"
"24.02.2016 18:30 - 24.02.2016 18:45","12574","12279"
"24.02.2016 18:45 - 24.02.2016 19:00","12524","12347"
"24.02.2016 19:00 - 24.02.2016 19:15","12373","12248"
"24.02.2016 19:15 - 24.02.2016 19:30","12201","12162"
"24.02.2016 19:30 - 24.02.2016 19:45","12106","12084"
"24.02.2016 19:45 - 24.02.2016 20:00","11957","11998"
"24.02.2016 20:00 - 24.02.2016 20:15","11781","11862"
"24.02.2016 20:15 - 24.02.2016 20:30","11587","11630"
"24.02.2016 20:30 - 24.02.2016 20:45","11465","11480"
"24.02.2016 20:45 - 24.02.2016 21:00","11290","11302"
"24.02.2016 21:00 - 24.02.2016 21:15","11167","11122"
"24.02.2016 21:15 - 24.02.2016 21:30","11061","11061"
"24.02.2016 21:30 - 24.02.2016 21:45","10923","10917"
"24.02.2016 21:45 - 24.02.2016 22:00","10814","10829"
"24.02.2016 22:00 - 24.02.2016 22:15","11004","10963"
"24.02.2016 22:15 - 24.02.2016 22:30","11208","11151"
"24.02.2016 22:30 - 24.02.2016 22:45","11217","11194"
"24.02.2016 22:45 - 24.02.2016 23:00","11194","11154"
"24.02.2016 23:00 - 24.02.2016 23:15","11275","11205"
"24.02.2016 23:15 - 24.02.2016 23:30","11139","11104"
"24.02.2016 23:30 - 24.02.2016 23:45","10988","10955"
"24.02.2016 23:45 - 25.02.2016 00:00","10809","10792"
"25.02.2016 00:00 - 25.02.2016 00:15","10603","10622"
"25.02.2016 00:15 - 25.02.2016 00:30","10458","10501"
"25.02.2016 00:30 - 25.02.2016 00:45","10323","10413"
"25.02.2016 00:45 - 25.02.2016 01:00","10182","10246"
"25.02.2016 01:00 - 25.02.2016 01:15","10160","10210"
"25.02.2016 01:15 - 25.02.2016 01:30","10009","10097"
"25.02.2016 01:30 - 25.02.2016 01:45","9844","9980"
"25.02.2016 01:45 - 25.02.2016 02:00","9738","9765"
"25.02.2016 02:00 - 25.02.2016 02:15","9617","9762"
"25.02.2016 02:15 - 25.02.2016 02:30","9526","9708"
"25.02.2016 02:30 - 25.02.2016 02:45","9469","9585"
"25.02.2016 02:45 - 25.02.2016 03:00","9414","9530"
"25.02.2016 03:00 - 25.02.2016 03:15","9418","9483"
"25.02.2016 03:15 - 25.02.2016 03:30","9342","9459"
"25.02.2016 03:30 - 25.02.2016 03:45","9349","9368"
"25.02.2016 03:45 - 25.02.2016 04:00","9341","9400"
"25.02.2016 04:00 - 25.02.2016 04:15","9358","9408"
"25.02.2016 04:15 - 25.02.2016 04:30","9368","9435"
"25.02.2016 04:30 - 25.02.2016 04:45","9432","9475"
"25.02.2016 04:45 - 25.02.2016 05:00","9500","9586"
"25.02.2016 05:00 - 25.02.2016 05:15","9694","9742"
"25.02.2016 05:15 - 25.02.2016 05:30","9769","9837"
"25.02.2016 05:30 - 25.02.2016 05:45","9930","10039"
"25.02.2016 05:45 - 25.02.2016 06:00","10118","10274"
"25.02.2016 06:00 - 25.02.2016 06:15","10609","10711"
"25.02.2016 06:15 - 25.02.2016 06:30","10964","11007"
"25.02.2016 06:30 - 25.02.2016 06:45","11233","11341"
"25.02.2016 06:45 - 25.02.2016 07:00","11545","11682"
"25.02.2016 07:00 - 25.02.2016 07:15","11700","11883"
"25.02.2016 07:15 - 25.02.2016 07:30","11926","12031"
"25.02.2016 07:30 - 25.02.2016 07:45","11972","11996"
"25.02.2016 07:45 - 25.02.2016 08:00","11925","11980"
"25.02.2016 08:00 - 25.02.2016 08:15","11840","11912"
"25.02.2016 08:15 - 25.02.2016 08:30","11919","11920"
"25.02.2016 08:30 - 25.02.2016 08:45","11999","11931"
"25.02.2016 08:45 - 25.02.2016 09:00","12069","12008"
"25.02.2016 09:00 - 25.02.2016 09:15","12062","12073"
"25.02.2016 09:15 - 25.02.2016 09:30","12084","12082"
"25.02.2016 09:30 - 25.02.2016 09:45","12151","12077"
"25.02.2016 09:45 - 25.02.2016 10:00","12155","12090"
"25.02.2016 10:00 - 25.02.2016 10:15","12140","12078"
"25.02.2016 10:15 - 25.02.2016 10:30","12133","12045"
"25.02.2016 10:30 - 25.02.2016 10:45","12141","12067"
"25.02.2016 10:45 - 25.02.2016 11:00","12153","12101"
"25.02.2016 11:00 - 25.02.2016 11:15","12218","12074"
"25.02.2016 11:15 - 25.02.2016 11:30","12176","12146"
"25.02.2016 11:30 - 25.02.2016 11:45","12214","12129"
"25.02.2016 11:45 - 25.02.2016 12:00","12193","12120"
"25.02.2016 12:00 - 25.02.2016 12:15","12056","11910"
"25.02.2016 12:15 - 25.02.2016 12:30","11929","11821"
"25.02.2016 12:30 - 25.02.2016 12:45","11943","11850"
"25.02.2016 12:45 - 25.02.2016 13:00","11936","11888"
"25.02.2016 13:00 - 25.02.2016 13:15","11978","11896"
"25.02.2016 13:15 - 25.02.2016 13:30","11962","11868"
"25.02.2016 13:30 - 25.02.2016 13:45","11963","11899"
"25.02.2016 13:45 - 25.02.2016 14:00","11892","11874"
"25.02.2016 14:00 - 25.02.2016 14:15","11844","11886"
"25.02.2016 14:15 - 25.02.2016 14:30","11813","11923"
"25.02.2016 14:30 - 25.02.2016 14:45","11805","11850"
"25.02.2016 14:45 - 25.02.2016 15:00","11695","11758"
"25.02.2016 15:00 - 25.02.2016 15:15","11728","11799"
"25.02.2016 15:15 - 25.02.2016 15:30","11684","11754"
"25.02.2016 15:30 - 25.02.2016 15:45","11624","11756"
"25.02.2016 15:45 - 25.02.2016 16:00","11610","11723"
"25.02.2016 16:00 - 25.02.2016 16:15","11716","11631"
"25.02.2016 16:15 - 25.02.2016 16:30","11748","11598"
"25.02.2016 16:30 - 25.02.2016 16:45","11724","11609"
"25.02.2016 16:45 - 25.02.2016 17:00","11717","11708"
"25.02.2016 17:00 - 25.02.2016 17:15","11789","11741"
"25.02.2016 17:15 - 25.02.2016 17:30","11886","11815"
"25.02.2016 17:30 - 25.02.2016 17:45","12032","11952"
"25.02.2016 17:45 - 25.02.2016 18:00","12212","12081"
"25.02.2016 18:00 - 25.02.2016 18:15","12251","12099"
"25.02.2016 18:15 - 25.02.2016 18:30","12515","12314"
"25.02.2016 18:30 - 25.02.2016 18:45","12595","12585"
"25.02.2016 18:45 - 25.02.2016 19:00","12572","12590"
"25.02.2016 19:00 - 25.02.2016 19:15","12383","12514"
"25.02.2016 19:15 - 25.02.2016 19:30","12221","12377"
"25.02.2016 19:30 - 25.02.2016 19:45","12119","12266"
"25.02.2016 19:45 - 25.02.2016 20:00","11965","12102"
"25.02.2016 20:00 - 25.02.2016 20:15","11816","11960"
"25.02.2016 20:15 - 25.02.2016 20:30","11610","11769"
"25.02.2016 20:30 - 25.02.2016 20:45","11483","11642"
"25.02.2016 20:45 - 25.02.2016 21:00","11292","11491"
"25.02.2016 21:00 - 25.02.2016 21:15","11213","11378"
"25.02.2016 21:15 - 25.02.2016 21:30","11110","11252"
"25.02.2016 21:30 - 25.02.2016 21:45","10972","11128"
"25.02.2016 21:45 - 25.02.2016 22:00","10866","10967"
"25.02.2016 22:00 - 25.02.2016 22:15","11043","11168"
"25.02.2016 22:15 - 25.02.2016 22:30","11250","11404"
"25.02.2016 22:30 - 25.02.2016 22:45","11247","11314"
"25.02.2016 22:45 - 25.02.2016 23:00","11237","11322"
"25.02.2016 23:00 - 25.02.2016 23:15","11355","11473"
"25.02.2016 23:15 - 25.02.2016 23:30","11242","11328"
"25.02.2016 23:30 - 25.02.2016 23:45","11071","11108"
"25.02.2016 23:45 - 26.02.2016 00:00","10902","10930"
"26.02.2016 00:00 - 26.02.2016 00:15","10662","10793"
"26.02.2016 00:15 - 26.02.2016 00:30","10521","10621"
"26.02.2016 00:30 - 26.02.2016 00:45","10390","10476"
"26.02.2016 00:45 - 26.02.2016 01:00","10244","10433"
"26.02.2016 01:00 - 26.02.2016 01:15","10261","10329"
"26.02.2016 01:15 - 26.02.2016 01:30","10095","10197"
"26.02.2016 01:30 - 26.02.2016 01:45","9948","10007"
"26.02.2016 01:45 - 26.02.2016 02:00","9829","9881"
"26.02.2016 02:00 - 26.02.2016 02:15","9800","9814"
"26.02.2016 02:15 - 26.02.2016 02:30","9695","9671"
"26.02.2016 02:30 - 26.02.2016 02:45","9634","9666"
"26.02.2016 02:45 - 26.02.2016 03:00","9576","9591"
"26.02.2016 03:00 - 26.02.2016 03:15","9489","9540"
"26.02.2016 03:15 - 26.02.2016 03:30","9413","9450"
"26.02.2016 03:30 - 26.02.2016 03:45","9428","9481"
"26.02.2016 03:45 - 26.02.2016 04:00","9416","9456"
"26.02.2016 04:00 - 26.02.2016 04:15","9376","9512"
"26.02.2016 04:15 - 26.02.2016 04:30","9382","9497"
"26.02.2016 04:30 - 26.02.2016 04:45","9442","9541"
"26.02.2016 04:45 - 26.02.2016 05:00","9511","9625"
"26.02.2016 05:00 - 26.02.2016 05:15","9581","9712"
"26.02.2016 05:15 - 26.02.2016 05:30","9666","9894"
"26.02.2016 05:30 - 26.02.2016 05:45","9829","10057"
"26.02.2016 05:45 - 26.02.2016 06:00","10021","10250"
"26.02.2016 06:00 - 26.02.2016 06:15","10374","10570"
"26.02.2016 06:15 - 26.02.2016 06:30","10734","10938"
"26.02.2016 06:30 - 26.02.2016 06:45","11019","11297"
"26.02.2016 06:45 - 26.02.2016 07:00","11311","11668"
"26.02.2016 07:00 - 26.02.2016 07:15","11545","11865"
"26.02.2016 07:15 - 26.02.2016 07:30","11764","11921"
"26.02.2016 07:30 - 26.02.2016 07:45","11798","11969"
"26.02.2016 07:45 - 26.02.2016 08:00","11728","11946"
"26.02.2016 08:00 - 26.02.2016 08:15","11759","11907"
"26.02.2016 08:15 - 26.02.2016 08:30","11833","12081"
"26.02.2016 08:30 - 26.02.2016 08:45","11909","12169"
"26.02.2016 08:45 - 26.02.2016 09:00","11973","12266"
"26.02.2016 09:00 - 26.02.2016 09:15","12069","12318"
"26.02.2016 09:15 - 26.02.2016 09:30","12084","12397"
"26.02.2016 09:30 - 26.02.2016 09:45","12143","12472"
"26.02.2016 09:45 - 26.02.2016 10:00","12137","12452"
"26.02.2016 10:00 - 26.02.2016 10:15","12094","12378"
"26.02.2016 10:15 - 26.02.2016 10:30","12074","12366"
"26.02.2016 10:30 - 26.02.2016 10:45","12080","12349"
"26.02.2016 10:45 - 26.02.2016 11:00","12075","12413"
"26.02.2016 11:00 - 26.02.2016 11:15","12059","12392"
"26.02.2016 11:15 - 26.02.2016 11:30","12000","12474"
"26.02.2016 11:30 - 26.02.2016 11:45","12044","12441"
"26.02.2016 11:45 - 26.02.2016 12:00","12022","12303"
"26.02.2016 12:00 - 26.02.2016 12:15","11768","12116"
"26.02.2016 12:15 - 26.02.2016 12:30","11642","11978"
"26.02.2016 12:30 - 26.02.2016 12:45","11660","11963"
"26.02.2016 12:45 - 26.02.2016 13:00","11666","12038"
"26.02.2016 13:00 - 26.02.2016 13:15","11628","12040"
"26.02.2016 13:15 - 26.02.2016 13:30","11611","12032"
"26.02.2016 13:30 - 26.02.2016 13:45","11612","11956"
"26.02.2016 13:45 - 26.02.2016 14:00","11543","11892"
"26.02.2016 14:00 - 26.02.2016 14:15","11495","11881"
"26.02.2016 14:15 - 26.02.2016 14:30","11453","11885"
"26.02.2016 14:30 - 26.02.2016 14:45","11439","11786"
"26.02.2016 14:45 - 26.02.2016 15:00","11350","11736"
"26.02.2016 15:00 - 26.02.2016 15:15","11275","11733"
"26.02.2016 15:15 - 26.02.2016 15:30","11246","11603"
"26.02.2016 15:30 - 26.02.2016 15:45","11202","11542"
"26.02.2016 15:45 - 26.02.2016 16:00","11186","11497"
"26.02.2016 16:00 - 26.02.2016 16:15","11160","11452"
"26.02.2016 16:15 - 26.02.2016 16:30","11184","11415"
"26.02.2016 16:30 - 26.02.2016 16:45","11163","11495"
"26.02.2016 16:45 - 26.02.2016 17:00","11164","11486"
"26.02.2016 17:00 - 26.02.2016 17:15","11162","11364"
"26.02.2016 17:15 - 26.02.2016 17:30","11247","11466"
"26.02.2016 17:30 - 26.02.2016 17:45","11387","11530"
"26.02.2016 17:45 - 26.02.2016 18:00","11554","11643"
"26.02.2016 18:00 - 26.02.2016 18:15","11608","11705"
"26.02.2016 18:15 - 26.02.2016 18:30","11869","11830"
"26.02.2016 18:30 - 26.02.2016 18:45","11988","12020"
"26.02.2016 18:45 - 26.02.2016 19:00","11991","12100"
"26.02.2016 19:00 - 26.02.2016 19:15","11805","11979"
"26.02.2016 19:15 - 26.02.2016 19:30","11661","11835"
"26.02.2016 19:30 - 26.02.2016 19:45","11569","11690"
"26.02.2016 19:45 - 26.02.2016 20:00","11428","11535"
"26.02.2016 20:00 - 26.02.2016 20:15","11307","11381"
"26.02.2016 20:15 - 26.02.2016 20:30","11113","11263"
"26.02.2016 20:30 - 26.02.2016 20:45","10991","11076"
"26.02.2016 20:45 - 26.02.2016 21:00","10809","11009"
"26.02.2016 21:00 - 26.02.2016 21:15","10641","10942"
"26.02.2016 21:15 - 26.02.2016 21:30","10553","10699"
"26.02.2016 21:30 - 26.02.2016 21:45","10419","10641"
"26.02.2016 21:45 - 26.02.2016 22:00","10326","10534"
"26.02.2016 22:00 - 26.02.2016 22:15","10543","10716"
"26.02.2016 22:15 - 26.02.2016 22:30","10729","10928"
"26.02.2016 22:30 - 26.02.2016 22:45","10733","10908"
"26.02.2016 22:45 - 26.02.2016 23:00","10719","10969"
"26.02.2016 23:00 - 26.02.2016 23:15","10924","11100"
"26.02.2016 23:15 - 26.02.2016 23:30","10815","10969"
"26.02.2016 23:30 - 26.02.2016 23:45","10654","10803"
"26.02.2016 23:45 - 27.02.2016 00:00","10497","10591"
"27.02.2016 00:00 - 27.02.2016 00:15","10193","10501"
"27.02.2016 00:15 - 27.02.2016 00:30","10051","10367"
"27.02.2016 00:30 - 27.02.2016 00:45","9927","10200"
"27.02.2016 00:45 - 27.02.2016 01:00","9806","10119"
"27.02.2016 01:00 - 27.02.2016 01:15","9586","9961"
"27.02.2016 01:15 - 27.02.2016 01:30","9482","9850"
"27.02.2016 01:30 - 27.02.2016 01:45","9352","9689"
"27.02.2016 01:45 - 27.02.2016 02:00","9222","9539"
"27.02.2016 02:00 - 27.02.2016 02:15","9189","9460"
"27.02.2016 02:15 - 27.02.2016 02:30","9056","9286"
"27.02.2016 02:30 - 27.02.2016 02:45","8937","9252"
"27.02.2016 02:45 - 27.02.2016 03:00","8843","9147"
"27.02.2016 03:00 - 27.02.2016 03:15","8867","9083"
"27.02.2016 03:15 - 27.02.2016 03:30","8827","8976"
"27.02.2016 03:30 - 27.02.2016 03:45","8771","8886"
"27.02.2016 03:45 - 27.02.2016 04:00","8715","8930"
"27.02.2016 04:00 - 27.02.2016 04:15","8725","8889"
"27.02.2016 04:15 - 27.02.2016 04:30","8755","8849"
"27.02.2016 04:30 - 27.02.2016 04:45","8726","8863"
"27.02.2016 04:45 - 27.02.2016 05:00","8714","8758"
"27.02.2016 05:00 - 27.02.2016 05:15","8733","8782"
"27.02.2016 05:15 - 27.02.2016 05:30","8676","8807"
"27.02.2016 05:30 - 27.02.2016 05:45","8765","8841"
"27.02.2016 05:45 - 27.02.2016 06:00","8811","8898"
"27.02.2016 06:00 - 27.02.2016 06:15","8893","8924"
"27.02.2016 06:15 - 27.02.2016 06:30","8931","9007"
"27.02.2016 06:30 - 27.02.2016 06:45","8991","9202"
"27.02.2016 06:45 - 27.02.2016 07:00","9050","9247"
"27.02.2016 07:00 - 27.02.2016 07:15","9131","9318"
"27.02.2016 07:15 - 27.02.2016 07:30","9229","9316"
"27.02.2016 07:30 - 27.02.2016 07:45","9381","9227"
"27.02.2016 07:45 - 27.02.2016 08:00","9490","9338"
"27.02.2016 08:00 - 27.02.2016 08:15","9580","9569"
"27.02.2016 08:15 - 27.02.2016 08:30","9740","9726"
"27.02.2016 08:30 - 27.02.2016 08:45","9898","9892"
