"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"02.01.2016 00:30 - 02.01.2016 00:45","8541","8149"
"02.01.2016 00:45 - 02.01.2016 01:00","8455","7985"
"02.01.2016 01:00 - 02.01.2016 01:15","7937","7910"
"02.01.2016 01:15 - 02.01.2016 01:30","7833","7766"
"02.01.2016 01:30 - 02.01.2016 01:45","7679","7698"
"02.01.2016 01:45 - 02.01.2016 02:00","7610","7613"
"02.01.2016 02:00 - 02.01.2016 02:15","7566","7557"
"02.01.2016 02:15 - 02.01.2016 02:30","7554","7500"
"02.01.2016 02:30 - 02.01.2016 02:45","7483","7450"
"02.01.2016 02:45 - 02.01.2016 03:00","7432","7411"
"02.01.2016 03:00 - 02.01.2016 03:15","7388","7392"
"02.01.2016 03:15 - 02.01.2016 03:30","7358","7313"
"02.01.2016 03:30 - 02.01.2016 03:45","7324","7257"
"02.01.2016 03:45 - 02.01.2016 04:00","7375","7281"
"02.01.2016 04:00 - 02.01.2016 04:15","7431","7315"
"02.01.2016 04:15 - 02.01.2016 04:30","7497","7309"
"02.01.2016 04:30 - 02.01.2016 04:45","7499","7333"
"02.01.2016 04:45 - 02.01.2016 05:00","7672","7340"
"02.01.2016 05:00 - 02.01.2016 05:15","7846","7394"
"02.01.2016 05:15 - 02.01.2016 05:30","8031","7426"
"02.01.2016 05:30 - 02.01.2016 05:45","8059","7481"
"02.01.2016 05:45 - 02.01.2016 06:00","8421","7546"
"02.01.2016 06:00 - 02.01.2016 06:15","8807","7666"
"02.01.2016 06:15 - 02.01.2016 06:30","9214","7760"
"02.01.2016 06:30 - 02.01.2016 06:45","9304","7829"
"02.01.2016 06:45 - 02.01.2016 07:00","8877","7891"
"02.01.2016 07:00 - 02.01.2016 07:15","8451","7894"
"02.01.2016 07:15 - 02.01.2016 07:30","8054","7989"
"02.01.2016 07:30 - 02.01.2016 07:45","8177","8095"
"02.01.2016 07:45 - 02.01.2016 08:00","8339","8202"
"02.01.2016 08:00 - 02.01.2016 08:15","8504","8401"
"02.01.2016 08:15 - 02.01.2016 08:30","8638","8602"
"02.01.2016 08:30 - 02.01.2016 08:45","8708","8625"
"02.01.2016 08:45 - 02.01.2016 09:00","8779","8680"
"02.01.2016 09:00 - 02.01.2016 09:15","8868","8858"
"02.01.2016 09:15 - 02.01.2016 09:30","8971","8985"
"02.01.2016 09:30 - 02.01.2016 09:45","9041","9120"
"02.01.2016 09:45 - 02.01.2016 10:00","9137","9175"
"02.01.2016 10:00 - 02.01.2016 10:15","9236","9243"
"02.01.2016 10:15 - 02.01.2016 10:30","9321","9391"
"02.01.2016 10:30 - 02.01.2016 10:45","9362","9455"
"02.01.2016 10:45 - 02.01.2016 11:00","9435","9466"
"02.01.2016 11:00 - 02.01.2016 11:15","9523","9502"
"02.01.2016 11:15 - 02.01.2016 11:30","9610","9566"
"02.01.2016 11:30 - 02.01.2016 11:45","9645","9633"
"02.01.2016 11:45 - 02.01.2016 12:00","9690","9643"
