"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","01.01.2016 00:00 - 01.01.2016 01:00 (CET)","248","n/e","n/e","1909","0","0","n/e","n/e","n/e","","1","23","n/e","n/e","4872","500","n/e","0","263","425","563"
"Belgium (BE)","01.01.2016 01:00 - 01.01.2016 02:00 (CET)","272","n/e","n/e","1783","0","0","n/e","n/e","n/e","","2","24","n/e","n/e","4872","472","n/e","0","265","371","474"
"Belgium (BE)","01.01.2016 02:00 - 01.01.2016 03:00 (CET)","274","n/e","n/e","1748","0","0","n/e","n/e","n/e","","89","24","n/e","n/e","4873","456","n/e","0","264","344","336"
"Belgium (BE)","01.01.2016 03:00 - 01.01.2016 04:00 (CET)","279","n/e","n/e","1724","0","0","n/e","n/e","n/e","","258","24","n/e","n/e","4873","448","n/e","0","264","185","225"
"Belgium (BE)","01.01.2016 04:00 - 01.01.2016 05:00 (CET)","307","n/e","n/e","1661","0","0","n/e","n/e","n/e","","269","24","n/e","n/e","4869","449","n/e","0","266","88","196"
"Belgium (BE)","01.01.2016 05:00 - 01.01.2016 06:00 (CET)","321","n/e","n/e","1689","0","0","n/e","n/e","n/e","","553","24","n/e","n/e","4870","454","n/e","0","268","39","156"
"Belgium (BE)","01.01.2016 06:00 - 01.01.2016 07:00 (CET)","325","n/e","n/e","1645","0","0","n/e","n/e","n/e","","356","24","n/e","n/e","4874","458","n/e","0","265","4","100"
"Belgium (BE)","01.01.2016 07:00 - 01.01.2016 08:00 (CET)","321","n/e","n/e","1635","0","0","n/e","n/e","n/e","","251","24","n/e","n/e","4879","482","n/e","0","268","","48"
"Belgium (BE)","01.01.2016 08:00 - 01.01.2016 09:00 (CET)","322","n/e","n/e","1639","0","0","n/e","n/e","n/e","","116","23","n/e","n/e","4880","523","n/e","0","268","","35"
"Belgium (BE)","01.01.2016 09:00 - 01.01.2016 10:00 (CET)","322","n/e","n/e","1682","0","0","n/e","n/e","n/e","","154","24","n/e","n/e","4881","541","n/e","121","265","","53"
"Belgium (BE)","01.01.2016 10:00 - 01.01.2016 11:00 (CET)","332","n/e","n/e","1615","0","0","n/e","n/e","n/e","","153","25","n/e","n/e","4879","547","n/e","325","263","25","56"
"Belgium (BE)","01.01.2016 11:00 - 01.01.2016 12:00 (CET)","333","n/e","n/e","1572","0","0","n/e","n/e","n/e","","173","25","n/e","n/e","4877","552","n/e","559","265","60","52"
"Belgium (BE)","01.01.2016 12:00 - 01.01.2016 13:00 (CET)","328","n/e","n/e","1594","0","0","n/e","n/e","n/e","","47","25","n/e","n/e","4878","558","n/e","552","265","86","43"
"Belgium (BE)","01.01.2016 13:00 - 01.01.2016 14:00 (CET)","326","n/e","n/e","1655","0","0","n/e","n/e","n/e","","45","25","n/e","n/e","4880","559","n/e","432","265","158","65"
"Belgium (BE)","01.01.2016 14:00 - 01.01.2016 15:00 (CET)","332","n/e","n/e","1678","0","0","n/e","n/e","n/e","","9","25","n/e","n/e","4880","564","n/e","223","266","203","101"
"Belgium (BE)","01.01.2016 15:00 - 01.01.2016 16:00 (CET)","328","n/e","n/e","1588","0","0","n/e","n/e","n/e","","16","25","n/e","n/e","4877","564","n/e","92","261","196","130"
"Belgium (BE)","01.01.2016 16:00 - 01.01.2016 17:00 (CET)","332","n/e","n/e","1628","0","0","n/e","n/e","n/e","","43","26","n/e","n/e","4880","569","n/e","9","259","236","173"
"Belgium (BE)","01.01.2016 17:00 - 01.01.2016 18:00 (CET)","334","n/e","n/e","1623","0","0","n/e","n/e","n/e","","20","26","n/e","n/e","4877","534","n/e","0","254","375","286"
"Belgium (BE)","01.01.2016 18:00 - 01.01.2016 19:00 (CET)","335","n/e","n/e","1868","0","0","n/e","n/e","n/e","249","","26","n/e","n/e","4877","514","n/e","0","254","411","338"
"Belgium (BE)","01.01.2016 19:00 - 01.01.2016 20:00 (CET)","338","n/e","n/e","1908","0","0","n/e","n/e","n/e","803","","25","n/e","n/e","4878","514","n/e","0","252","380","307"
"Belgium (BE)","01.01.2016 20:00 - 01.01.2016 21:00 (CET)","338","n/e","n/e","1874","0","0","n/e","n/e","n/e","264","","26","n/e","n/e","4874","511","n/e","0","250","475","313"
"Belgium (BE)","01.01.2016 21:00 - 01.01.2016 22:00 (CET)","343","n/e","n/e","1708","0","0","n/e","n/e","n/e","7","0","26","n/e","n/e","4875","495","n/e","0","253","618","417"
