"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","01.01.2016 22:00 - 01.01.2016 23:00 (CET)","336","n/e","n/e","1729","0","0","n/e","n/e","n/e","","1","25","n/e","n/e","4878","479","n/e","0","253","552","424"
"Belgium (BE)","01.01.2016 23:00 - 02.01.2016 00:00 (CET)","342","n/e","n/e","1697","0","0","n/e","n/e","n/e","","1","24","n/e","n/e","4877","508","n/e","0","253","582","449"
"Belgium (BE)","02.01.2016 00:00 - 02.01.2016 01:00 (CET)","344","n/e","n/e","1617","0","0","n/e","n/e","n/e","","25","24","n/e","n/e","4877","473","n/e","0","246","570","465"
"Belgium (BE)","02.01.2016 01:00 - 02.01.2016 02:00 (CET)","305","n/e","n/e","1593","0","0","n/e","n/e","n/e","","444","24","n/e","n/e","4877","464","n/e","0","250","586","494"
"Belgium (BE)","02.01.2016 02:00 - 02.01.2016 03:00 (CET)","233","n/e","n/e","1555","0","0","n/e","n/e","n/e","","768","24","n/e","n/e","4878","462","n/e","0","249","543","515"
"Belgium (BE)","02.01.2016 03:00 - 02.01.2016 04:00 (CET)","230","n/e","n/e","1581","0","0","n/e","n/e","n/e","","596","24","n/e","n/e","4877","463","n/e","0","250","563","500"
"Belgium (BE)","02.01.2016 04:00 - 02.01.2016 05:00 (CET)","242","n/e","n/e","1599","0","0","n/e","n/e","n/e","","857","24","n/e","n/e","4876","462","n/e","0","250","554","473"
"Belgium (BE)","02.01.2016 05:00 - 02.01.2016 06:00 (CET)","266","n/e","n/e","1603","0","0","n/e","n/e","n/e","","914","23","n/e","n/e","4875","473","n/e","0","252","592","453"
"Belgium (BE)","02.01.2016 06:00 - 02.01.2016 07:00 (CET)","269","n/e","n/e","1626","0","0","n/e","n/e","n/e","","536","23","n/e","n/e","4872","474","n/e","0","249","634","403"
"Belgium (BE)","02.01.2016 07:00 - 02.01.2016 08:00 (CET)","270","n/e","n/e","1584","0","0","n/e","n/e","n/e","","345","23","n/e","n/e","4869","494","n/e","0","250","604","396"
"Belgium (BE)","02.01.2016 08:00 - 02.01.2016 09:00 (CET)","277","n/e","n/e","1658","0","0","n/e","n/e","n/e","","24","23","n/e","n/e","4869","558","n/e","0","245","585","371"
"Belgium (BE)","02.01.2016 09:00 - 02.01.2016 10:00 (CET)","293","n/e","n/e","1710","0","0","n/e","n/e","n/e","","2","23","n/e","n/e","4882","598","n/e","28","245","561","392"
"Belgium (BE)","02.01.2016 10:00 - 02.01.2016 11:00 (CET)","297","n/e","n/e","1844","0","0","n/e","n/e","n/e","","1","23","n/e","n/e","4897","612","n/e","178","242","572","357"
"Belgium (BE)","02.01.2016 11:00 - 02.01.2016 12:00 (CET)","296","n/e","n/e","1816","0","0","n/e","n/e","n/e","","1","23","n/e","n/e","4909","627","n/e","424","244","581","352"
"Belgium (BE)","02.01.2016 12:00 - 02.01.2016 13:00 (CET)","295","n/e","n/e","1797","0","0","n/e","n/e","n/e","133","","22","n/e","n/e","4919","618","n/e","588","237","575","353"
"Belgium (BE)","02.01.2016 13:00 - 02.01.2016 14:00 (CET)","316","n/e","n/e","1683","0","0","n/e","n/e","n/e","22","20","22","n/e","n/e","4929","607","n/e","478","246","624","424"
"Belgium (BE)","02.01.2016 14:00 - 02.01.2016 15:00 (CET)","285","n/e","n/e","1840","0","0","n/e","n/e","n/e","","223","21","n/e","n/e","4936","605","n/e","191","246","624","463"
"Belgium (BE)","02.01.2016 15:00 - 02.01.2016 16:00 (CET)","275","n/e","n/e","1929","0","0","n/e","n/e","n/e","","369","21","n/e","n/e","4940","610","n/e","57","244","619","468"
"Belgium (BE)","02.01.2016 16:00 - 02.01.2016 17:00 (CET)","279","n/e","n/e","1605","0","0","n/e","n/e","n/e","75","0","21","n/e","n/e","4937","615","n/e","3","245","635","487"
"Belgium (BE)","02.01.2016 17:00 - 02.01.2016 18:00 (CET)","283","n/e","n/e","1688","0","0","n/e","n/e","n/e","661","","21","n/e","n/e","4931","606","n/e","0","249","644","520"
"Belgium (BE)","02.01.2016 18:00 - 02.01.2016 19:00 (CET)","294","n/e","n/e","1834","0","44","n/e","n/e","n/e","1124","","21","n/e","n/e","4538","594","n/e","0","250","649","590"
"Belgium (BE)","02.01.2016 19:00 - 02.01.2016 20:00 (CET)","288","n/e","n/e","2262","0","0","n/e","n/e","n/e","971","","21","n/e","n/e","4505","612","n/e","0","250","651","628"
"Belgium (BE)","02.01.2016 20:00 - 02.01.2016 21:00 (CET)","278","n/e","n/e","1976","0","0","n/e","n/e","n/e","503","","21","n/e","n/e","4506","576","n/e","0","250","651","668"
"Belgium (BE)","02.01.2016 21:00 - 02.01.2016 22:00 (CET)","269","n/e","n/e","1940","0","0","n/e","n/e","n/e","82","0","20","n/e","n/e","4505","561","n/e","0","252","651","729"
"Belgium (BE)","02.01.2016 22:00 - 02.01.2016 23:00 (CET)","274","n/e","n/e","2010","0","0","n/e","n/e","n/e","114","0","21","n/e","n/e","4506","527","n/e","0","249","650","682"
"Belgium (BE)","02.01.2016 23:00 - 03.01.2016 00:00 (CET)","283","n/e","n/e","2081","0","0","n/e","n/e","n/e","223","","21","n/e","n/e","4508","552","n/e","0","251","649","611"
"Belgium (BE)","03.01.2016 00:00 - 03.01.2016 01:00 (CET)","281","n/e","n/e","1909","0","0","n/e","n/e","n/e","139","","21","n/e","n/e","4507","501","n/e","0","249","624","598"
"Belgium (BE)","03.01.2016 01:00 - 03.01.2016 02:00 (CET)","285","n/e","n/e","1842","0","0","n/e","n/e","n/e","108","3","22","n/e","n/e","4509","482","n/e","0","243","633","592"
"Belgium (BE)","03.01.2016 02:00 - 03.01.2016 03:00 (CET)","297","n/e","n/e","1744","0","0","n/e","n/e","n/e","","591","22","n/e","n/e","4507","479","n/e","0","243","635","593"
"Belgium (BE)","03.01.2016 03:00 - 03.01.2016 04:00 (CET)","278","n/e","n/e","1760","0","0","n/e","n/e","n/e","","690","25","n/e","n/e","4503","482","n/e","0","244","636","589"
"Belgium (BE)","03.01.2016 04:00 - 03.01.2016 05:00 (CET)","270","n/e","n/e","1779","0","0","n/e","n/e","n/e","","703","28","n/e","n/e","4506","473","n/e","0","246","642","554"
"Belgium (BE)","03.01.2016 05:00 - 03.01.2016 06:00 (CET)","262","n/e","n/e","1777","0","0","n/e","n/e","n/e","","536","30","n/e","n/e","4508","484","n/e","0","246","644","522"
"Belgium (BE)","03.01.2016 06:00 - 03.01.2016 07:00 (CET)","262","n/e","n/e","1772","0","0","n/e","n/e","n/e","","781","30","n/e","n/e","4509","493","n/e","0","244","634","523"
"Belgium (BE)","03.01.2016 07:00 - 03.01.2016 08:00 (CET)","262","n/e","n/e","1885","0","0","n/e","n/e","n/e","","786","29","n/e","n/e","4510","509","n/e","0","248","584","483"
"Belgium (BE)","03.01.2016 08:00 - 03.01.2016 09:00 (CET)","220","n/e","n/e","2115","0","0","n/e","n/e","n/e","","172","29","n/e","n/e","4510","534","n/e","0","249","563","515"
"Belgium (BE)","03.01.2016 09:00 - 03.01.2016 10:00 (CET)","157","n/e","n/e","2129","0","0","n/e","n/e","n/e","","199","26","n/e","n/e","4510","568","n/e","60","250","636","490"
"Belgium (BE)","03.01.2016 10:00 - 03.01.2016 11:00 (CET)","141","n/e","n/e","2014","0","0","n/e","n/e","n/e","","43","25","n/e","n/e","4509","583","n/e","236","246","636","455"
"Belgium (BE)","03.01.2016 11:00 - 03.01.2016 12:00 (CET)","142","n/e","n/e","2046","0","0","n/e","n/e","n/e","56","","25","n/e","n/e","4511","577","n/e","435","243","624","434"
"Belgium (BE)","03.01.2016 12:00 - 03.01.2016 13:00 (CET)","142","n/e","n/e","2157","0","0","n/e","n/e","n/e","119","","24","n/e","n/e","4514","583","n/e","447","245","639","440"
"Belgium (BE)","03.01.2016 13:00 - 03.01.2016 14:00 (CET)","143","n/e","n/e","2119","0","0","n/e","n/e","n/e","162","","24","n/e","n/e","4514","599","n/e","305","244","649","529"
"Belgium (BE)","03.01.2016 14:00 - 03.01.2016 15:00 (CET)","145","n/e","n/e","2122","0","0","n/e","n/e","n/e","163","","24","n/e","n/e","4514","583","n/e","206","237","654","567"
"Belgium (BE)","03.01.2016 15:00 - 03.01.2016 16:00 (CET)","140","n/e","n/e","2140","0","0","n/e","n/e","n/e","158","","24","n/e","n/e","4514","578","n/e","64","245","657","622"
"Belgium (BE)","03.01.2016 16:00 - 03.01.2016 17:00 (CET)","139","n/e","n/e","2201","0","0","n/e","n/e","n/e","147","","24","n/e","n/e","4511","595","n/e","5","246","657","663"
"Belgium (BE)","03.01.2016 17:00 - 03.01.2016 18:00 (CET)","141","n/e","n/e","2183","0","0","n/e","n/e","n/e","185","","26","n/e","n/e","4511","579","n/e","0","242","657","745"
"Belgium (BE)","03.01.2016 18:00 - 03.01.2016 19:00 (CET)","143","n/e","n/e","2241","0","0","n/e","n/e","n/e","367","","27","n/e","n/e","4514","552","n/e","0","243","655","798"
"Belgium (BE)","03.01.2016 19:00 - 03.01.2016 20:00 (CET)","142","n/e","n/e","2303","0","0","n/e","n/e","n/e","458","","27","n/e","n/e","4512","526","n/e","0","242","652","814"
"Belgium (BE)","03.01.2016 20:00 - 03.01.2016 21:00 (CET)","141","n/e","n/e","2298","0","0","n/e","n/e","n/e","233","","27","n/e","n/e","4507","511","n/e","0","248","653","797"
"Belgium (BE)","03.01.2016 21:00 - 03.01.2016 22:00 (CET)","143","n/e","n/e","2209","0","0","n/e","n/e","n/e","71","","27","n/e","n/e","4508","497","n/e","0","238","648","845"
"Belgium (BE)","03.01.2016 22:00 - 03.01.2016 23:00 (CET)","145","n/e","n/e","2281","0","0","n/e","n/e","n/e","240","","26","n/e","n/e","4510","496","n/e","0","249","628","705"
"Belgium (BE)","03.01.2016 23:00 - 04.01.2016 00:00 (CET)","145","n/e","n/e","2237","0","0","n/e","n/e","n/e","220","","27","n/e","n/e","4507","525","n/e","0","248","575","543"
"Belgium (BE)","04.01.2016 00:00 - 04.01.2016 01:00 (CET)","137","n/e","n/e","1626","0","0","n/e","n/e","n/e","","423","27","n/e","n/e","4507","470","n/e","0","258","489","421"
"Belgium (BE)","04.01.2016 01:00 - 04.01.2016 02:00 (CET)","122","n/e","n/e","1451","0","0","n/e","n/e","n/e","","617","27","n/e","n/e","4507","466","n/e","0","256","388","328"
"Belgium (BE)","04.01.2016 02:00 - 04.01.2016 03:00 (CET)","117","n/e","n/e","1558","0","0","n/e","n/e","n/e","","819","27","n/e","n/e","4507","466","n/e","0","257","361","235"
"Belgium (BE)","04.01.2016 03:00 - 04.01.2016 04:00 (CET)","135","n/e","n/e","1558","0","0","n/e","n/e","n/e","","1070","27","n/e","n/e","4505","477","n/e","0","253","241","229"
"Belgium (BE)","04.01.2016 04:00 - 04.01.2016 05:00 (CET)","138","n/e","n/e","1502","0","0","n/e","n/e","n/e","","992","28","n/e","n/e","4504","489","n/e","0","253","328","220"
"Belgium (BE)","04.01.2016 05:00 - 04.01.2016 06:00 (CET)","141","n/e","n/e","1480","2","0","n/e","n/e","n/e","","582","31","n/e","n/e","4508","470","n/e","0","258","283","278"
"Belgium (BE)","04.01.2016 06:00 - 04.01.2016 07:00 (CET)","143","n/e","n/e","1585","6","0","n/e","n/e","n/e","37","139","34","n/e","n/e","4508","476","n/e","0","261","318","331"
"Belgium (BE)","04.01.2016 07:00 - 04.01.2016 08:00 (CET)","141","n/e","n/e","1834","11","0","n/e","n/e","n/e","355","","35","n/e","n/e","4508","564","n/e","0","253","362","321"
"Belgium (BE)","04.01.2016 08:00 - 04.01.2016 09:00 (CET)","140","n/e","n/e","2253","24","11","n/e","n/e","n/e","265","","34","n/e","n/e","4511","632","n/e","0","243","375","333"
"Belgium (BE)","04.01.2016 09:00 - 04.01.2016 10:00 (CET)","140","n/e","n/e","2591","40","112","n/e","n/e","n/e","26","0","31","n/e","n/e","4512","657","n/e","46","255","440","328"
"Belgium (BE)","04.01.2016 10:00 - 04.01.2016 11:00 (CET)","140","n/e","n/e","2761","58","113","n/e","n/e","n/e","93","0","30","n/e","n/e","4507","663","n/e","132","262","270","358"
"Belgium (BE)","04.01.2016 11:00 - 04.01.2016 12:00 (CET)","144","n/e","n/e","2775","68","113","n/e","n/e","n/e","141","","32","n/e","n/e","4514","655","n/e","223","258","462","361"
"Belgium (BE)","04.01.2016 12:00 - 04.01.2016 13:00 (CET)","143","n/e","n/e","2860","97","113","n/e","n/e","n/e","361","","32","n/e","n/e","4540","669","n/e","261","266","463","342"
"Belgium (BE)","04.01.2016 13:00 - 04.01.2016 14:00 (CET)","139","n/e","n/e","2879","93","113","n/e","n/e","n/e","164","","32","n/e","n/e","4569","670","n/e","230","264","535","312"
"Belgium (BE)","04.01.2016 14:00 - 04.01.2016 15:00 (CET)","141","n/e","n/e","2860","103","112","n/e","n/e","n/e","178","","34","n/e","n/e","4589","665","n/e","183","263","572","322"
"Belgium (BE)","04.01.2016 15:00 - 04.01.2016 16:00 (CET)","142","n/e","n/e","2849","120","112","n/e","n/e","n/e","165","","37","n/e","n/e","4591","674","n/e","97","265","547","319"
"Belgium (BE)","04.01.2016 16:00 - 04.01.2016 17:00 (CET)","145","n/e","n/e","3010","137","112","n/e","n/e","n/e","191","","39","n/e","n/e","4593","685","n/e","16","261","516","332"
"Belgium (BE)","04.01.2016 17:00 - 04.01.2016 18:00 (CET)","145","n/e","n/e","3068","149","3","n/e","n/e","n/e","838","","40","n/e","n/e","4596","667","n/e","0","264","512","379"
"Belgium (BE)","04.01.2016 18:00 - 04.01.2016 19:00 (CET)","143","n/e","n/e","3057","174","0","n/e","n/e","n/e","1053","","40","n/e","n/e","4607","692","n/e","0","265","579","424"
"Belgium (BE)","04.01.2016 19:00 - 04.01.2016 20:00 (CET)","139","n/e","n/e","2921","182","0","n/e","n/e","n/e","556","","40","n/e","n/e","4617","665","n/e","0","265","594","474"
"Belgium (BE)","04.01.2016 20:00 - 04.01.2016 21:00 (CET)","142","n/e","n/e","2691","182","0","n/e","n/e","n/e","69","1","40","n/e","n/e","4637","600","n/e","0","267","489","505"
"Belgium (BE)","04.01.2016 21:00 - 04.01.2016 22:00 (CET)","141","n/e","n/e","2617","182","0","n/e","n/e","n/e","","184","40","n/e","n/e","4667","575","n/e","0","266","567","525"
"Belgium (BE)","04.01.2016 22:00 - 04.01.2016 23:00 (CET)","140","n/e","n/e","2448","183","0","n/e","n/e","n/e","","77","39","n/e","n/e","4691","507","n/e","0","265","582","490"
"Belgium (BE)","04.01.2016 23:00 - 05.01.2016 00:00 (CET)","140","n/e","n/e","1812","182","0","n/e","n/e","n/e","163","0","38","n/e","n/e","4707","539","n/e","0","268","474","422"
"Belgium (BE)","05.01.2016 00:00 - 05.01.2016 01:00 (CET)","146","n/e","n/e","1554","128","0","n/e","n/e","n/e","","185","35","n/e","n/e","4715","488","n/e","0","267","425","390"
"Belgium (BE)","05.01.2016 01:00 - 05.01.2016 02:00 (CET)","167","n/e","n/e","1539","75","0","n/e","n/e","n/e","","738","34","n/e","n/e","4721","455","n/e","0","266","476","378"
"Belgium (BE)","05.01.2016 02:00 - 05.01.2016 03:00 (CET)","171","n/e","n/e","1464","74","0","n/e","n/e","n/e","","1084","34","n/e","n/e","4726","459","n/e","0","263","508","400"
"Belgium (BE)","05.01.2016 03:00 - 05.01.2016 04:00 (CET)","206","n/e","n/e","1484","74","0","n/e","n/e","n/e","","1148","35","n/e","n/e","4750","452","n/e","0","266","524","377"
"Belgium (BE)","05.01.2016 04:00 - 05.01.2016 05:00 (CET)","233","n/e","n/e","1492","74","0","n/e","n/e","n/e","","1095","36","n/e","n/e","4765","443","n/e","0","268","499","370"
"Belgium (BE)","05.01.2016 05:00 - 05.01.2016 06:00 (CET)","256","n/e","n/e","1601","75","0","n/e","n/e","n/e","","931","36","n/e","n/e","4775","440","n/e","0","268","525","356"
"Belgium (BE)","05.01.2016 06:00 - 05.01.2016 07:00 (CET)","295","n/e","n/e","1796","125","0","n/e","n/e","n/e","","256","37","n/e","n/e","4789","438","n/e","0","266","548","405"
"Belgium (BE)","05.01.2016 07:00 - 05.01.2016 08:00 (CET)","334","n/e","n/e","2483","172","0","n/e","n/e","n/e","47","0","37","n/e","n/e","4809","518","n/e","0","265","483","371"
"Belgium (BE)","05.01.2016 08:00 - 05.01.2016 09:00 (CET)","347","n/e","n/e","2853","200","0","n/e","n/e","n/e","127","","36","n/e","n/e","4823","620","n/e","0","263","508","347"
"Belgium (BE)","05.01.2016 09:00 - 05.01.2016 10:00 (CET)","347","n/e","n/e","2852","208","0","n/e","n/e","n/e","118","","30","n/e","n/e","4842","632","n/e","37","264","520","329"
"Belgium (BE)","05.01.2016 10:00 - 05.01.2016 11:00 (CET)","348","n/e","n/e","2819","218","0","n/e","n/e","n/e","97","","30","n/e","n/e","4852","617","n/e","122","260","558","324"
"Belgium (BE)","05.01.2016 11:00 - 05.01.2016 12:00 (CET)","348","n/e","n/e","2828","216","0","n/e","n/e","n/e","208","","29","n/e","n/e","4862","625","n/e","191","258","577","388"
"Belgium (BE)","05.01.2016 12:00 - 05.01.2016 13:00 (CET)","347","n/e","n/e","2720","219","0","n/e","n/e","n/e","17","22","30","n/e","n/e","4871","630","n/e","200","264","538","382"
"Belgium (BE)","05.01.2016 13:00 - 05.01.2016 14:00 (CET)","340","n/e","n/e","2596","219","0","n/e","n/e","n/e","","1","35","n/e","n/e","4880","627","n/e","161","265","499","308"
"Belgium (BE)","05.01.2016 14:00 - 05.01.2016 15:00 (CET)","330","n/e","n/e","2518","219","0","n/e","n/e","n/e","","12","37","n/e","n/e","4890","633","n/e","139","264","473","240"
"Belgium (BE)","05.01.2016 15:00 - 05.01.2016 16:00 (CET)","322","n/e","n/e","2466","220","0","n/e","n/e","n/e","","1","37","n/e","n/e","4893","636","n/e","80","265","413","218"
"Belgium (BE)","05.01.2016 16:00 - 05.01.2016 17:00 (CET)","343","n/e","n/e","2384","220","0","n/e","n/e","n/e","1","0","37","n/e","n/e","4900","642","n/e","10","268","428","235"
"Belgium (BE)","05.01.2016 17:00 - 05.01.2016 18:00 (CET)","351","n/e","n/e","2808","219","0","n/e","n/e","n/e","780","","37","n/e","n/e","4911","634","n/e","0","267","446","257"
"Belgium (BE)","05.01.2016 18:00 - 05.01.2016 19:00 (CET)","349","n/e","n/e","2804","219","0","n/e","n/e","n/e","973","","35","n/e","n/e","4921","603","n/e","0","270","418","236"
"Belgium (BE)","05.01.2016 19:00 - 05.01.2016 20:00 (CET)","351","n/e","n/e","2859","218","0","n/e","n/e","n/e","825","","35","n/e","n/e","4924","562","n/e","0","267","360","237"
"Belgium (BE)","05.01.2016 20:00 - 05.01.2016 21:00 (CET)","350","n/e","n/e","2636","218","0","n/e","n/e","n/e","405","","34","n/e","n/e","4924","540","n/e","0","268","392","293"
"Belgium (BE)","05.01.2016 21:00 - 05.01.2016 22:00 (CET)","352","n/e","n/e","1931","218","0","n/e","n/e","n/e","5","3","34","n/e","n/e","4924","512","n/e","0","267","388","265"
"Belgium (BE)","05.01.2016 22:00 - 05.01.2016 23:00 (CET)","348","n/e","n/e","1813","219","0","n/e","n/e","n/e","","1","20","n/e","n/e","4928","508","n/e","0","267","315","217"
"Belgium (BE)","05.01.2016 23:00 - 06.01.2016 00:00 (CET)","347","n/e","n/e","1849","212","0","n/e","n/e","n/e","","0","19","n/e","n/e","4928","536","n/e","0","271","267","182"
"Belgium (BE)","06.01.2016 00:00 - 06.01.2016 01:00 (CET)","287","n/e","n/e","1630","131","0","n/e","n/e","n/e","","85","23","n/e","n/e","4929","486","n/e","0","268","298","144"
"Belgium (BE)","06.01.2016 01:00 - 06.01.2016 02:00 (CET)","261","n/e","n/e","1618","79","0","n/e","n/e","n/e","","762","24","n/e","n/e","4928","469","n/e","0","269","298","126"
"Belgium (BE)","06.01.2016 02:00 - 06.01.2016 03:00 (CET)","269","n/e","n/e","1650","79","0","n/e","n/e","n/e","","1023","24","n/e","n/e","4927","472","n/e","0","266","294","101"
"Belgium (BE)","06.01.2016 03:00 - 06.01.2016 04:00 (CET)","268","n/e","n/e","1657","106","0","n/e","n/e","n/e","","1145","24","n/e","n/e","4931","468","n/e","0","268","232","91"
"Belgium (BE)","06.01.2016 04:00 - 06.01.2016 05:00 (CET)","268","n/e","n/e","1642","118","0","n/e","n/e","n/e","","1025","24","n/e","n/e","4932","464","n/e","0","271","184","104"
"Belgium (BE)","06.01.2016 05:00 - 06.01.2016 06:00 (CET)","270","n/e","n/e","1713","194","0","n/e","n/e","n/e","","864","24","n/e","n/e","4932","462","n/e","0","268","168","81"
"Belgium (BE)","06.01.2016 06:00 - 06.01.2016 07:00 (CET)","258","n/e","n/e","1975","231","0","n/e","n/e","n/e","","277","24","n/e","n/e","4932","471","n/e","0","266","139","92"
"Belgium (BE)","06.01.2016 07:00 - 06.01.2016 08:00 (CET)","257","n/e","n/e","2892","282","0","n/e","n/e","n/e","66","","24","n/e","n/e","4930","544","n/e","0","255","122","86"
"Belgium (BE)","06.01.2016 08:00 - 06.01.2016 09:00 (CET)","309","n/e","n/e","3409","313","0","n/e","n/e","n/e","232","","24","n/e","n/e","4933","595","n/e","0","258","113","72"
"Belgium (BE)","06.01.2016 09:00 - 06.01.2016 10:00 (CET)","326","n/e","n/e","3440","358","0","n/e","n/e","n/e","246","","24","n/e","n/e","4938","615","n/e","41","260","83","80"
"Belgium (BE)","06.01.2016 10:00 - 06.01.2016 11:00 (CET)","330","n/e","n/e","3493","374","31","n/e","n/e","n/e","104","","25","n/e","n/e","4933","604","n/e","141","261","81","60"
