"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","30.05.2015 12:00 - 30.05.2015 13:00 (CET)","64","n/e","n/e","1835","0","0","n/e","n/e","n/e","34","1","15","n/e","n/e","3467","603","n/e","1430","191","120","332"
"Belgium (BE)","30.05.2015 13:00 - 30.05.2015 14:00 (CET)","71","n/e","n/e","1827","0","0","n/e","n/e","n/e","113","","15","n/e","n/e","3467","652","n/e","1231","192","121","316"
"Belgium (BE)","30.05.2015 14:00 - 30.05.2015 15:00 (CET)","67","n/e","n/e","1772","0","0","n/e","n/e","n/e","10","59","16","n/e","n/e","3466","632","n/e","1291","190","112","297"
"Belgium (BE)","30.05.2015 15:00 - 30.05.2015 16:00 (CET)","68","n/e","n/e","1733","0","0","n/e","n/e","n/e","","205","15","n/e","n/e","3467","602","n/e","1192","188","121","270"
"Belgium (BE)","30.05.2015 16:00 - 30.05.2015 17:00 (CET)","67","n/e","n/e","1662","0","0","n/e","n/e","n/e","","74","14","n/e","n/e","3465","588","n/e","1186","187","154","245"
"Belgium (BE)","30.05.2015 17:00 - 30.05.2015 18:00 (CET)","66","n/e","n/e","1699","0","0","n/e","n/e","n/e","","72","14","n/e","n/e","3463","524","n/e","916","189","166","193"
"Belgium (BE)","30.05.2015 18:00 - 30.05.2015 19:00 (CET)","69","n/e","n/e","1693","0","0","n/e","n/e","n/e","71","","14","n/e","n/e","3465","505","n/e","671","188","223","139"
"Belgium (BE)","30.05.2015 19:00 - 30.05.2015 20:00 (CET)","67","n/e","n/e","1668","0","0","n/e","n/e","n/e","125","","14","n/e","n/e","3462","470","n/e","370","188","291","106"
"Belgium (BE)","30.05.2015 20:00 - 30.05.2015 21:00 (CET)","65","n/e","n/e","1787","0","0","n/e","n/e","n/e","285","","13","n/e","n/e","3462","461","n/e","131","191","332","51"
"Belgium (BE)","30.05.2015 21:00 - 30.05.2015 22:00 (CET)","70","n/e","n/e","1913","0","0","n/e","n/e","n/e","495","","11","n/e","n/e","3464","427","n/e","14","194","255","25"
"Belgium (BE)","30.05.2015 22:00 - 30.05.2015 23:00 (CET)","72","n/e","n/e","1993","0","0","n/e","n/e","n/e","831","","11","n/e","n/e","3465","437","n/e","0","197","151","19"
"Belgium (BE)","30.05.2015 23:00 - 31.05.2015 00:00 (CET)","72","n/e","n/e","1839","0","0","n/e","n/e","n/e","377","","11","n/e","n/e","3466","526","n/e","0","202","135","20"
