"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","01.01.2015 00:00 - 01.01.2015 01:00 (CET)","68","0","0","2536","435","0","n/e","n/e","n/e","335","","36","0","n/e","2875","589","0","0","267","507","177"
"Belgium (BE)","01.01.2015 01:00 - 01.01.2015 02:00 (CET)","69","0","0","2509","434","0","n/e","n/e","n/e","153","0","36","0","n/e","2875","666","0","0","269","491","205"
"Belgium (BE)","01.01.2015 02:00 - 01.01.2015 03:00 (CET)","69","0","0","2463","435","0","n/e","n/e","n/e","","7","36","0","n/e","2874","662","0","0","271","519","216"
"Belgium (BE)","01.01.2015 03:00 - 01.01.2015 04:00 (CET)","68","0","0","2243","436","0","n/e","n/e","n/e","","9","36","0","n/e","2873","635","0","0","266","529","237"
"Belgium (BE)","01.01.2015 04:00 - 01.01.2015 05:00 (CET)","67","0","0","2134","436","0","n/e","n/e","n/e","","413","37","0","n/e","2874","597","0","0","268","407","326"
"Belgium (BE)","01.01.2015 05:00 - 01.01.2015 06:00 (CET)","68","0","0","2166","436","0","n/e","n/e","n/e","","537","37","0","n/e","2873","597","0","0","269","413","318"
"Belgium (BE)","01.01.2015 06:00 - 01.01.2015 07:00 (CET)","70","0","0","2034","434","0","n/e","n/e","n/e","","533","37","0","n/e","2874","610","0","0","264","550","271"
"Belgium (BE)","01.01.2015 07:00 - 01.01.2015 08:00 (CET)","69","0","0","1990","436","0","n/e","n/e","n/e","","517","36","0","n/e","2874","612","0","0","263","616","324"
"Belgium (BE)","01.01.2015 08:00 - 01.01.2015 09:00 (CET)","68","0","0","1949","415","0","n/e","n/e","n/e","","9","36","0","n/e","2874","606","0","0","267","628","460"
"Belgium (BE)","01.01.2015 09:00 - 01.01.2015 10:00 (CET)","77","0","0","1845","331","0","n/e","n/e","n/e","","9","37","0","n/e","2873","591","0","93","263","645","502"
"Belgium (BE)","01.01.2015 10:00 - 01.01.2015 11:00 (CET)","85","0","0","1872","253","0","n/e","n/e","n/e","","9","37","0","n/e","2874","572","0","375","267","656","479"
"Belgium (BE)","01.01.2015 11:00 - 01.01.2015 12:00 (CET)","86","0","0","1916","219","0","n/e","n/e","n/e","","9","38","0","n/e","2874","574","0","740","269","633","433"
"Belgium (BE)","01.01.2015 12:00 - 01.01.2015 13:00 (CET)","81","0","0","2001","159","0","n/e","n/e","n/e","","42","41","0","n/e","2874","572","0","938","268","606","415"
"Belgium (BE)","01.01.2015 13:00 - 01.01.2015 14:00 (CET)","91","0","0","2061","143","0","n/e","n/e","n/e","","47","43","0","n/e","2874","552","0","849","259","606","491"
"Belgium (BE)","01.01.2015 14:00 - 01.01.2015 15:00 (CET)","104","0","0","1991","221","0","n/e","n/e","n/e","","9","43","0","n/e","2874","557","0","537","267","584","514"
"Belgium (BE)","01.01.2015 15:00 - 01.01.2015 16:00 (CET)","105","0","0","1990","390","0","n/e","n/e","n/e","","9","43","0","n/e","2874","565","0","257","268","579","509"
"Belgium (BE)","01.01.2015 16:00 - 01.01.2015 17:00 (CET)","115","0","0","1972","440","0","n/e","n/e","n/e","","9","42","0","n/e","2874","582","0","41","268","627","571"
"Belgium (BE)","01.01.2015 17:00 - 01.01.2015 18:00 (CET)","123","0","0","2254","439","0","n/e","n/e","n/e","265","","42","0","n/e","2874","634","0","0","269","660","697"
"Belgium (BE)","01.01.2015 18:00 - 01.01.2015 19:00 (CET)","133","0","0","2261","436","0","n/e","n/e","n/e","517","","42","0","n/e","2875","653","0","0","270","663","801"
"Belgium (BE)","01.01.2015 19:00 - 01.01.2015 20:00 (CET)","144","0","0","2285","430","0","n/e","n/e","n/e","535","","41","0","n/e","2874","627","0","0","270","664","871"
"Belgium (BE)","01.01.2015 20:00 - 01.01.2015 21:00 (CET)","168","0","0","2257","433","0","n/e","n/e","n/e","362","","41","0","n/e","2874","571","0","0","268","664","879"
"Belgium (BE)","01.01.2015 21:00 - 01.01.2015 22:00 (CET)","192","0","0","2130","437","0","n/e","n/e","n/e","162","","42","0","n/e","2873","536","0","0","270","669","927"
"Belgium (BE)","01.01.2015 22:00 - 01.01.2015 23:00 (CET)","237","0","0","2107","439","0","n/e","n/e","n/e","157","","41","0","n/e","2873","545","0","0","267","669","958"
"Belgium (BE)","01.01.2015 23:00 - 02.01.2015 00:00 (CET)","169","0","0","2095","436","0","n/e","n/e","n/e","288","","41","0","n/e","2875","588","0","0","266","663","972"
"Belgium (BE)","02.01.2015 00:00 - 02.01.2015 01:00 (CET)","129","0","0","1840","370","0","n/e","n/e","n/e","73","0","41","0","n/e","2876","549","0","0","261","665","968"
"Belgium (BE)","02.01.2015 01:00 - 02.01.2015 02:00 (CET)","206","0","0","1722","243","0","n/e","n/e","n/e","","13","41","0","n/e","2873","528","0","0","260","656","986"
"Belgium (BE)","02.01.2015 02:00 - 02.01.2015 03:00 (CET)","206","0","0","1651","196","0","n/e","n/e","n/e","","372","41","0","n/e","2880","543","0","0","258","646","997"
"Belgium (BE)","02.01.2015 03:00 - 02.01.2015 04:00 (CET)","212","0","0","1634","144","0","n/e","n/e","n/e","","615","41","0","n/e","2955","539","0","0","259","633","991"
"Belgium (BE)","02.01.2015 04:00 - 02.01.2015 05:00 (CET)","213","0","0","1656","149","0","n/e","n/e","n/e","","995","42","0","n/e","3105","542","0","0","263","658","968"
"Belgium (BE)","02.01.2015 05:00 - 02.01.2015 06:00 (CET)","214","0","0","1680","190","0","n/e","n/e","n/e","","842","43","0","n/e","3203","540","0","0","267","656","925"
"Belgium (BE)","02.01.2015 06:00 - 02.01.2015 07:00 (CET)","227","0","0","1700","293","0","n/e","n/e","n/e","","91","42","0","n/e","3200","548","0","0","264","664","890"
"Belgium (BE)","02.01.2015 07:00 - 02.01.2015 08:00 (CET)","226","0","0","1859","370","0","n/e","n/e","n/e","","6","40","0","n/e","3199","571","0","0","264","662","847"
"Belgium (BE)","02.01.2015 08:00 - 02.01.2015 09:00 (CET)","225","0","0","2075","384","0","n/e","n/e","n/e","","5","38","0","n/e","3198","643","0","0","262","585","824"
"Belgium (BE)","02.01.2015 09:00 - 02.01.2015 10:00 (CET)","222","0","0","2079","388","0","n/e","n/e","n/e","129","","38","0","n/e","3250","673","0","7","263","500","742"
"Belgium (BE)","02.01.2015 10:00 - 02.01.2015 11:00 (CET)","223","0","0","2192","392","0","n/e","n/e","n/e","297","","39","0","n/e","3335","702","0","71","261","382","612"
"Belgium (BE)","02.01.2015 11:00 - 02.01.2015 12:00 (CET)","223","0","0","2095","388","0","n/e","n/e","n/e","182","","40","0","n/e","3412","739","0","169","265","637","511"
"Belgium (BE)","02.01.2015 12:00 - 02.01.2015 13:00 (CET)","223","0","0","2085","385","0","n/e","n/e","n/e","325","","41","0","n/e","3528","748","0","329","269","651","474"
"Belgium (BE)","02.01.2015 13:00 - 02.01.2015 14:00 (CET)","218","0","0","1969","386","0","n/e","n/e","n/e","142","","42","0","n/e","3569","672","0","555","267","660","528"
"Belgium (BE)","02.01.2015 14:00 - 02.01.2015 15:00 (CET)","223","0","0","1821","339","0","n/e","n/e","n/e","","42","42","0","n/e","3645","614","0","583","263","664","484"
"Belgium (BE)","02.01.2015 15:00 - 02.01.2015 16:00 (CET)","225","0","0","1979","294","0","n/e","n/e","n/e","","61","42","0","n/e","3709","584","0","347","263","668","456"
"Belgium (BE)","02.01.2015 16:00 - 02.01.2015 17:00 (CET)","221","0","0","2281","358","0","n/e","n/e","n/e","89","4","40","0","n/e","3719","600","0","56","264","667","458"
"Belgium (BE)","02.01.2015 17:00 - 02.01.2015 18:00 (CET)","219","0","0","2560","428","0","n/e","n/e","n/e","427","","39","0","n/e","3805","682","0","0","266","666","456"
"Belgium (BE)","02.01.2015 18:00 - 02.01.2015 19:00 (CET)","218","0","0","2640","437","0","n/e","n/e","n/e","633","","40","0","n/e","3864","711","0","0","265","658","469"
"Belgium (BE)","02.01.2015 19:00 - 02.01.2015 20:00 (CET)","223","0","0","2652","436","0","n/e","n/e","n/e","406","","40","0","n/e","3882","675","0","0","263","638","461"
"Belgium (BE)","02.01.2015 20:00 - 02.01.2015 21:00 (CET)","222","0","0","2486","432","0","n/e","n/e","n/e","84","0","41","0","n/e","3899","619","0","0","266","639","427"
"Belgium (BE)","02.01.2015 21:00 - 02.01.2015 22:00 (CET)","219","0","0","2352","433","0","n/e","n/e","n/e","","1","41","0","n/e","3900","589","0","0","265","618","407"
"Belgium (BE)","02.01.2015 22:00 - 02.01.2015 23:00 (CET)","233","0","0","2200","436","0","n/e","n/e","n/e","","26","41","0","n/e","3897","551","0","0","265","580","340"
"Belgium (BE)","02.01.2015 23:00 - 03.01.2015 00:00 (CET)","230","0","0","2163","435","0","n/e","n/e","n/e","","29","41","0","n/e","3900","607","0","0","265","502","279"
"Belgium (BE)","03.01.2015 00:00 - 03.01.2015 01:00 (CET)","215","0","0","2119","435","0","n/e","n/e","n/e","","8","42","0","n/e","3907","584","0","0","264","458","263"
"Belgium (BE)","03.01.2015 01:00 - 03.01.2015 02:00 (CET)","218","0","0","2070","437","0","n/e","n/e","n/e","","2","42","0","n/e","3908","559","0","0","266","380","191"
"Belgium (BE)","03.01.2015 02:00 - 03.01.2015 03:00 (CET)","225","0","0","2138","435","0","n/e","n/e","n/e","","6","42","0","n/e","3911","551","0","0","267","273","202"
"Belgium (BE)","03.01.2015 03:00 - 03.01.2015 04:00 (CET)","227","0","0","1971","436","0","n/e","n/e","n/e","","763","42","0","n/e","3911","539","0","0","267","335","262"
"Belgium (BE)","03.01.2015 04:00 - 03.01.2015 05:00 (CET)","223","0","0","1894","363","0","n/e","n/e","n/e","","915","42","0","n/e","3911","524","0","0","264","372","364"
"Belgium (BE)","03.01.2015 05:00 - 03.01.2015 06:00 (CET)","223","0","0","1863","431","0","n/e","n/e","n/e","","1018","41","0","n/e","3911","518","0","0","260","463","471"
"Belgium (BE)","03.01.2015 06:00 - 03.01.2015 07:00 (CET)","221","0","0","1867","435","0","n/e","n/e","n/e","","1002","41","0","n/e","3910","541","0","0","261","480","493"
"Belgium (BE)","03.01.2015 07:00 - 03.01.2015 08:00 (CET)","218","0","0","1934","436","0","n/e","n/e","n/e","","17","41","0","n/e","3908","569","0","0","268","401","369"
"Belgium (BE)","03.01.2015 08:00 - 03.01.2015 09:00 (CET)","217","0","0","2165","436","0","n/e","n/e","n/e","384","","42","0","n/e","3909","630","0","0","266","373","369"
"Belgium (BE)","03.01.2015 09:00 - 03.01.2015 10:00 (CET)","212","0","0","2219","434","0","n/e","n/e","n/e","296","","41","0","n/e","3910","654","0","4","268","469","298"
"Belgium (BE)","03.01.2015 10:00 - 03.01.2015 11:00 (CET)","208","0","0","2269","435","0","n/e","n/e","n/e","98","0","40","0","n/e","3909","724","0","16","271","378","229"
"Belgium (BE)","03.01.2015 11:00 - 03.01.2015 12:00 (CET)","213","0","0","2289","437","0","n/e","n/e","n/e","282","","40","0","n/e","3910","771","0","29","266","246","122"
"Belgium (BE)","03.01.2015 12:00 - 03.01.2015 13:00 (CET)","214","0","0","2313","436","0","n/e","n/e","n/e","212","","41","0","n/e","3910","778","0","55","266","315","120"
"Belgium (BE)","03.01.2015 13:00 - 03.01.2015 14:00 (CET)","218","0","0","2204","436","0","n/e","n/e","n/e","178","","42","0","n/e","3912","785","0","76","267","267","148"
"Belgium (BE)","03.01.2015 14:00 - 03.01.2015 15:00 (CET)","220","0","0","2218","435","0","n/e","n/e","n/e","275","","42","0","n/e","3912","791","0","73","269","152","140"
"Belgium (BE)","03.01.2015 15:00 - 03.01.2015 16:00 (CET)","222","0","0","2239","434","0","n/e","n/e","n/e","413","","40","0","n/e","3912","796","0","29","270","","226"
"Belgium (BE)","03.01.2015 16:00 - 03.01.2015 17:00 (CET)","224","0","0","2312","433","0","n/e","n/e","n/e","547","","40","0","n/e","3912","788","0","4","271","","394"
"Belgium (BE)","03.01.2015 17:00 - 03.01.2015 18:00 (CET)","225","0","0","2397","443","0","n/e","n/e","n/e","839","","40","0","n/e","3913","777","0","0","269","31","361"
"Belgium (BE)","03.01.2015 18:00 - 03.01.2015 19:00 (CET)","223","0","0","2400","442","0","n/e","n/e","n/e","499","","39","0","n/e","3911","769","0","0","273","245","203"
"Belgium (BE)","03.01.2015 19:00 - 03.01.2015 20:00 (CET)","225","0","0","2333","443","0","n/e","n/e","n/e","113","","40","0","n/e","3909","783","0","0","274","253","257"
"Belgium (BE)","03.01.2015 20:00 - 03.01.2015 21:00 (CET)","221","0","0","2385","442","0","n/e","n/e","n/e","","1","41","0","n/e","3910","749","0","0","270","273","195"
"Belgium (BE)","03.01.2015 21:00 - 03.01.2015 22:00 (CET)","226","0","0","2233","434","0","n/e","n/e","n/e","","1","42","0","n/e","3910","712","0","0","267","285","86"
"Belgium (BE)","03.01.2015 22:00 - 03.01.2015 23:00 (CET)","224","0","0","2270","439","0","n/e","n/e","n/e","","1","42","0","n/e","3908","646","0","0","267","182","96"
"Belgium (BE)","03.01.2015 23:00 - 04.01.2015 00:00 (CET)","223","0","0","2226","438","0","n/e","n/e","n/e","","1","40","0","n/e","3907","644","0","0","268","226","101"
"Belgium (BE)","04.01.2015 00:00 - 04.01.2015 01:00 (CET)","223","0","0","1910","434","0","n/e","n/e","n/e","","93","39","0","n/e","3907","578","0","0","270","262","151"
"Belgium (BE)","04.01.2015 01:00 - 04.01.2015 02:00 (CET)","223","0","0","1696","311","0","n/e","n/e","n/e","","354","37","0","n/e","3908","550","0","0","268","231","186"
"Belgium (BE)","04.01.2015 02:00 - 04.01.2015 03:00 (CET)","220","0","0","1679","201","0","n/e","n/e","n/e","","514","37","0","n/e","3909","535","0","0","269","171","170"
"Belgium (BE)","04.01.2015 03:00 - 04.01.2015 04:00 (CET)","222","0","0","1636","155","0","n/e","n/e","n/e","","1002","37","0","n/e","3910","526","0","0","269","163","175"
"Belgium (BE)","04.01.2015 04:00 - 04.01.2015 05:00 (CET)","221","0","0","1686","151","0","n/e","n/e","n/e","","1185","38","0","n/e","3909","503","0","0","269","149","186"
"Belgium (BE)","04.01.2015 05:00 - 04.01.2015 06:00 (CET)","225","0","0","1683","150","0","n/e","n/e","n/e","","1184","38","0","n/e","3908","485","0","0","268","109","193"
"Belgium (BE)","04.01.2015 06:00 - 04.01.2015 07:00 (CET)","227","0","0","1777","155","0","n/e","n/e","n/e","","1163","37","0","n/e","3909","479","0","0","270","127","141"
"Belgium (BE)","04.01.2015 07:00 - 04.01.2015 08:00 (CET)","229","0","0","1900","243","0","n/e","n/e","n/e","","189","36","0","n/e","3908","535","0","0","268","114","109"
"Belgium (BE)","04.01.2015 08:00 - 04.01.2015 09:00 (CET)","233","0","0","1958","331","0","n/e","n/e","n/e","","127","35","0","n/e","3907","592","0","0","271","86","124"
"Belgium (BE)","04.01.2015 09:00 - 04.01.2015 10:00 (CET)","230","0","0","1995","354","0","n/e","n/e","n/e","","2","33","0","n/e","3908","623","0","70","270","59","132"
"Belgium (BE)","04.01.2015 10:00 - 04.01.2015 11:00 (CET)","235","0","0","2037","430","0","n/e","n/e","n/e","","93","33","0","n/e","3907","646","0","310","271","29","113"
"Belgium (BE)","04.01.2015 11:00 - 04.01.2015 12:00 (CET)","232","0","0","2111","437","0","n/e","n/e","n/e","","1","33","0","n/e","3907","648","0","583","261","25","94"
"Belgium (BE)","04.01.2015 12:00 - 04.01.2015 13:00 (CET)","225","0","0","2128","436","0","n/e","n/e","n/e","","1","34","0","n/e","3906","656","0","791","262","27","86"
"Belgium (BE)","04.01.2015 13:00 - 04.01.2015 14:00 (CET)","230","0","0","2022","436","0","n/e","n/e","n/e","","1","35","0","n/e","3908","655","0","831","264","20","67"
"Belgium (BE)","04.01.2015 14:00 - 04.01.2015 15:00 (CET)","230","0","0","2045","435","0","n/e","n/e","n/e","","1","33","0","n/e","3909","651","0","659","267","17","61"
"Belgium (BE)","04.01.2015 15:00 - 04.01.2015 16:00 (CET)","231","0","0","2031","436","0","n/e","n/e","n/e","","1","33","0","n/e","3908","661","0","356","267","26","63"
"Belgium (BE)","04.01.2015 16:00 - 04.01.2015 17:00 (CET)","223","0","0","2124","417","0","n/e","n/e","n/e","","79","33","0","n/e","3907","671","0","71","270","23","65"
"Belgium (BE)","04.01.2015 17:00 - 04.01.2015 18:00 (CET)","225","0","0","2298","428","0","n/e","n/e","n/e","492","","33","0","n/e","3905","715","0","0","271","23","107"
"Belgium (BE)","04.01.2015 18:00 - 04.01.2015 19:00 (CET)","216","0","0","2374","436","0","n/e","n/e","n/e","768","","33","0","n/e","3905","756","0","0","270","29","113"
"Belgium (BE)","04.01.2015 19:00 - 04.01.2015 20:00 (CET)","223","0","0","2338","434","0","n/e","n/e","n/e","789","","34","0","n/e","3904","760","0","0","267","73","80"
"Belgium (BE)","04.01.2015 20:00 - 04.01.2015 21:00 (CET)","224","0","0","2297","431","0","n/e","n/e","n/e","554","","34","0","n/e","3906","744","0","0","265","130","102"
"Belgium (BE)","04.01.2015 21:00 - 04.01.2015 22:00 (CET)","223","0","0","2195","432","0","n/e","n/e","n/e","363","","34","0","n/e","3906","671","0","0","263","178","134"
"Belgium (BE)","04.01.2015 22:00 - 04.01.2015 23:00 (CET)","225","0","0","2194","436","0","n/e","n/e","n/e","250","","34","0","n/e","3905","632","0","0","267","221","145"
"Belgium (BE)","04.01.2015 23:00 - 05.01.2015 00:00 (CET)","229","0","0","2161","437","0","n/e","n/e","n/e","270","","36","0","n/e","3904","689","0","0","267","130","184"
"Belgium (BE)","05.01.2015 00:00 - 05.01.2015 01:00 (CET)","231","0","0","1792","437","0","n/e","n/e","n/e","","211","36","0","n/e","3904","602","0","0","269","49","242"
"Belgium (BE)","05.01.2015 01:00 - 05.01.2015 02:00 (CET)","231","0","0","1769","434","0","n/e","n/e","n/e","","596","36","0","n/e","3905","573","0","0","266","72","283"
"Belgium (BE)","05.01.2015 02:00 - 05.01.2015 03:00 (CET)","232","0","0","1788","296","0","n/e","n/e","n/e","","1071","35","0","n/e","3905","548","0","0","267","136","251"
"Belgium (BE)","05.01.2015 03:00 - 05.01.2015 04:00 (CET)","234","0","0","1763","250","0","n/e","n/e","n/e","","1073","35","0","n/e","3904","501","0","0","268","206","310"
"Belgium (BE)","05.01.2015 04:00 - 05.01.2015 05:00 (CET)","227","0","0","1875","256","0","n/e","n/e","n/e","","1048","34","0","n/e","3903","498","0","0","269","213","318"
"Belgium (BE)","05.01.2015 05:00 - 05.01.2015 06:00 (CET)","229","0","0","1931","269","0","n/e","n/e","n/e","","759","34","0","n/e","3903","484","0","0","266","121","281"
"Belgium (BE)","05.01.2015 06:00 - 05.01.2015 07:00 (CET)","227","0","0","2285","352","0","n/e","n/e","n/e","","73","34","0","n/e","3903","526","0","0","270","38","212"
"Belgium (BE)","05.01.2015 07:00 - 05.01.2015 08:00 (CET)","227","0","0","2984","395","0","n/e","n/e","n/e","202","","34","0","n/e","3902","682","0","0","269","98","236"
"Belgium (BE)","05.01.2015 08:00 - 05.01.2015 09:00 (CET)","224","0","0","3680","424","0","n/e","n/e","n/e","606","","35","0","n/e","3903","743","0","0","270","135","239"
"Belgium (BE)","05.01.2015 09:00 - 05.01.2015 10:00 (CET)","226","0","0","3932","428","0","n/e","n/e","n/e","213","","35","0","n/e","3911","759","0","73","264","214","259"
"Belgium (BE)","05.01.2015 10:00 - 05.01.2015 11:00 (CET)","225","0","0","3612","433","0","n/e","n/e","n/e","3","0","34","0","n/e","3909","755","0","310","264","235","289"
"Belgium (BE)","05.01.2015 11:00 - 05.01.2015 12:00 (CET)","273","0","0","3302","438","0","n/e","n/e","n/e","","1","33","0","n/e","3907","744","0","576","259","214","260"
"Belgium (BE)","05.01.2015 12:00 - 05.01.2015 13:00 (CET)","280","n/e","n/e","3302","437","0","n/e","n/e","n/e","","1","34","n/e","n/e","3906","738","n/e","709","262","174","178"
"Belgium (BE)","05.01.2015 13:00 - 05.01.2015 14:00 (CET)","257","n/e","n/e","3434","437","0","n/e","n/e","n/e","255","","37","n/e","n/e","3907","721","n/e","683","265","167","123"
"Belgium (BE)","05.01.2015 14:00 - 05.01.2015 15:00 (CET)","275","n/e","n/e","3517","436","0","n/e","n/e","n/e","203","","37","n/e","n/e","3911","702","n/e","500","269","147","98"
"Belgium (BE)","05.01.2015 15:00 - 05.01.2015 16:00 (CET)","280","n/e","n/e","3667","436","0","n/e","n/e","n/e","25","0","38","n/e","n/e","3909","723","n/e","259","270","163","90"
"Belgium (BE)","05.01.2015 16:00 - 05.01.2015 17:00 (CET)","282","n/e","n/e","4108","437","0","n/e","n/e","n/e","144","","38","n/e","n/e","3907","737","n/e","51","270","167","104"
"Belgium (BE)","05.01.2015 17:00 - 05.01.2015 18:00 (CET)","278","n/e","n/e","4370","435","0","n/e","n/e","n/e","650","","38","n/e","n/e","3907","737","n/e","0","269","135","108"
"Belgium (BE)","05.01.2015 18:00 - 05.01.2015 19:00 (CET)","279","n/e","n/e","4444","435","0","n/e","n/e","n/e","693","","39","n/e","n/e","3906","763","n/e","0","271","140","114"
"Belgium (BE)","05.01.2015 19:00 - 05.01.2015 20:00 (CET)","278","n/e","n/e","4409","435","0","n/e","n/e","n/e","682","","39","n/e","n/e","3905","762","n/e","0","274","168","131"
"Belgium (BE)","05.01.2015 20:00 - 05.01.2015 21:00 (CET)","275","n/e","n/e","4343","434","0","n/e","n/e","n/e","167","","39","n/e","n/e","3905","712","n/e","0","276","150","137"
"Belgium (BE)","05.01.2015 21:00 - 05.01.2015 22:00 (CET)","274","n/e","n/e","3830","436","0","n/e","n/e","n/e","14","","39","n/e","n/e","3904","722","n/e","0","274","117","136"
"Belgium (BE)","05.01.2015 22:00 - 05.01.2015 23:00 (CET)","276","n/e","n/e","3733","436","0","n/e","n/e","n/e","","1","38","n/e","n/e","3904","716","n/e","0","274","78","103"
"Belgium (BE)","05.01.2015 23:00 - 06.01.2015 00:00 (CET)","277","n/e","n/e","3716","436","0","n/e","n/e","n/e","","2","38","n/e","n/e","3904","724","n/e","0","274","72","88"
"Belgium (BE)","06.01.2015 00:00 - 06.01.2015 01:00 (CET)","275","n/e","n/e","2877","437","0","n/e","n/e","n/e","","75","37","n/e","n/e","3904","701","n/e","0","272","62","96"
"Belgium (BE)","06.01.2015 01:00 - 06.01.2015 02:00 (CET)","279","n/e","n/e","2425","436","0","n/e","n/e","n/e","","224","37","n/e","n/e","3905","693","n/e","0","266","85","115"
"Belgium (BE)","06.01.2015 02:00 - 06.01.2015 03:00 (CET)","282","n/e","n/e","2369","436","0","n/e","n/e","n/e","","424","36","n/e","n/e","3906","684","n/e","0","269","103","163"
"Belgium (BE)","06.01.2015 03:00 - 06.01.2015 04:00 (CET)","281","n/e","n/e","2301","437","0","n/e","n/e","n/e","","871","36","n/e","n/e","3906","680","n/e","0","264","101","207"
"Belgium (BE)","06.01.2015 04:00 - 06.01.2015 05:00 (CET)","278","n/e","n/e","2325","437","0","n/e","n/e","n/e","","888","37","n/e","n/e","3905","675","n/e","0","268","100","196"
"Belgium (BE)","06.01.2015 05:00 - 06.01.2015 06:00 (CET)","278","n/e","n/e","2380","437","0","n/e","n/e","n/e","","634","37","n/e","n/e","3905","673","n/e","0","261","95","189"
"Belgium (BE)","06.01.2015 06:00 - 06.01.2015 07:00 (CET)","274","n/e","n/e","2773","437","0","n/e","n/e","n/e","283","","37","n/e","n/e","3903","721","n/e","0","260","67","180"
"Belgium (BE)","06.01.2015 07:00 - 06.01.2015 08:00 (CET)","275","n/e","n/e","3538","438","0","n/e","n/e","n/e","364","","36","n/e","n/e","3903","759","n/e","0","266","72","230"
"Belgium (BE)","06.01.2015 08:00 - 06.01.2015 09:00 (CET)","274","n/e","n/e","3695","439","0","n/e","n/e","n/e","94","0","35","n/e","n/e","3905","758","n/e","0","266","90","256"
"Belgium (BE)","06.01.2015 09:00 - 06.01.2015 10:00 (CET)","276","n/e","n/e","3743","437","0","n/e","n/e","n/e","","1","36","n/e","n/e","3905","773","n/e","69","265","103","314"
"Belgium (BE)","06.01.2015 10:00 - 06.01.2015 11:00 (CET)","275","n/e","n/e","3561","438","0","n/e","n/e","n/e","","1","36","n/e","n/e","3905","761","n/e","276","266","101","286"
"Belgium (BE)","06.01.2015 11:00 - 06.01.2015 12:00 (CET)","276","n/e","n/e","3507","438","20","n/e","n/e","n/e","","1","38","n/e","n/e","3904","720","n/e","516","265","157","268"
"Belgium (BE)","06.01.2015 12:00 - 06.01.2015 13:00 (CET)","277","n/e","n/e","3517","438","0","n/e","n/e","n/e","","1","38","n/e","n/e","3904","717","n/e","563","266","216","250"
"Belgium (BE)","06.01.2015 13:00 - 06.01.2015 14:00 (CET)","275","n/e","n/e","3515","437","0","n/e","n/e","n/e","","1","38","n/e","n/e","3904","707","n/e","488","263","249","179"
"Belgium (BE)","06.01.2015 14:00 - 06.01.2015 15:00 (CET)","277","n/e","n/e","3400","436","0","n/e","n/e","n/e","","1","37","n/e","n/e","3905","722","n/e","333","264","304","138"
"Belgium (BE)","06.01.2015 15:00 - 06.01.2015 16:00 (CET)","276","n/e","n/e","3175","436","0","n/e","n/e","n/e","","1","38","n/e","n/e","3906","750","n/e","133","259","423","153"
"Belgium (BE)","06.01.2015 16:00 - 06.01.2015 17:00 (CET)","277","n/e","n/e","3504","437","0","n/e","n/e","n/e","","1","40","n/e","n/e","3907","770","n/e","22","260","520","219"
"Belgium (BE)","06.01.2015 17:00 - 06.01.2015 18:00 (CET)","276","n/e","n/e","3560","437","0","n/e","n/e","n/e","67","0","40","n/e","n/e","3905","770","n/e","0","265","592","300"
"Belgium (BE)","06.01.2015 18:00 - 06.01.2015 19:00 (CET)","278","n/e","n/e","3638","429","0","n/e","n/e","n/e","429","","40","n/e","n/e","3902","787","n/e","0","263","498","329"
"Belgium (BE)","06.01.2015 19:00 - 06.01.2015 20:00 (CET)","278","n/e","n/e","3539","436","0","n/e","n/e","n/e","227","","40","n/e","n/e","3904","790","n/e","0","259","502","405"
"Belgium (BE)","06.01.2015 20:00 - 06.01.2015 21:00 (CET)","277","n/e","n/e","3535","435","0","n/e","n/e","n/e","234","","38","n/e","n/e","3905","759","n/e","0","262","491","424"
"Belgium (BE)","06.01.2015 21:00 - 06.01.2015 22:00 (CET)","278","n/e","n/e","3201","437","0","n/e","n/e","n/e","","1","38","n/e","n/e","3903","752","n/e","0","259","477","371"
"Belgium (BE)","06.01.2015 22:00 - 06.01.2015 23:00 (CET)","277","n/e","n/e","3117","400","0","n/e","n/e","n/e","","1","39","n/e","n/e","3902","717","n/e","0","259","429","289"
"Belgium (BE)","06.01.2015 23:00 - 07.01.2015 00:00 (CET)","279","n/e","n/e","2979","312","0","n/e","n/e","n/e","98","0","40","n/e","n/e","3899","719","n/e","0","262","272","218"
"Belgium (BE)","07.01.2015 00:00 - 07.01.2015 01:00 (CET)","278","n/e","n/e","2649","241","0","n/e","n/e","n/e","1","7","40","n/e","n/e","3899","677","n/e","0","263","207","147"
